category_name,category_level,category_change_in_revenue_Yesterday,category_no_of_shops_Yesterday,category_revenue_growth_rate_Yesterday,category_avg_revenue_per_shop_Yesterday,category_top_3_shops_revenue_ratio_Yesterday,category_top_10_shops_revenue_ratio_Yesterday,category_soa_revenue_share_Yesterday,category_aff_revenue_share_Yesterday,category_mall_revenue_share_Yesterday,category_change_in_revenue_Last_7_Days,category_no_of_shops_Last_7_Days,category_revenue_growth_rate_Last_7_Days,category_avg_revenue_per_shop_Last_7_Days,category_top_3_shops_revenue_ratio_Last_7_Days,category_top_10_shops_revenue_ratio_Last_7_Days,category_soa_revenue_share_Last_7_Days,category_aff_revenue_share_Last_7_Days,category_mall_revenue_share_Last_7_Days,category_change_in_revenue_Last_30_Days,category_no_of_shops_Last_30_Days,category_revenue_growth_rate_Last_30_Days,category_avg_revenue_per_shop_Last_30_Days,category_top_3_shops_revenue_ratio_Last_30_Days,category_top_10_shops_revenue_ratio_Last_30_Days,category_soa_revenue_share_Last_30_Days,category_aff_revenue_share_Last_30_Days,category_mall_revenue_share_Last_30_Days,category_change_in_revenue_Last_90_Days,category_no_of_shops_Last_90_Days,category_revenue_growth_rate_Last_90_Days,category_avg_revenue_per_shop_Last_90_Days,category_top_3_shops_revenue_ratio_Last_90_Days,category_top_10_shops_revenue_ratio_Last_90_Days,category_soa_revenue_share_Last_90_Days,category_aff_revenue_share_Last_90_Days,category_mall_revenue_share_Last_90_Days,category_change_in_revenue_Last_180_Days,category_no_of_shops_Last_180_Days,category_revenue_growth_rate_Last_180_Days,category_avg_revenue_per_shop_Last_180_Days,category_top_3_shops_revenue_ratio_Last_180_Days,category_top_10_shops_revenue_ratio_Last_180_Days,category_soa_revenue_share_Last_180_Days,category_aff_revenue_share_Last_180_Days,category_mall_revenue_share_Last_180_Days
Commercial Furniture,L2,6%,3,0.00%,$4.06k,100.00%,100.00%,(0%),(100%),(0%),8%,3,-33.24%,$42.86k,100.00%,100.00%,(2.96%),(94.59%),(2.45%),11%,3,-53.14%,$327.14k,100.00%,100.00%,(2.07%),(89.63%),(7.96%),9%,3,14.84%,$892.23k,100.00%,100.00%,(1.2%),(87.63%),(9.39%),5%,3,1717.53%,$941.33k,100.00%,100.00%,(1.39%),(87.52%),(9.28%)
Office Furniture,L3,100%,3,0.00%,$4.06k,100.00%,100.00%,(0%),(100%),(0%),100%,3,-33.24%,$42.86k,100.00%,100.00%,(2.96%),(94.59%),(2.45%),100%,3,-53.14%,$327.14k,100.00%,100.00%,(2.07%),(89.63%),(7.96%),100%,3,14.84%,$892.23k,100.00%,100.00%,(1.2%),(87.63%),(9.39%),100%,3,1717.53%,$941.33k,100.00%,100.00%,(1.39%),(87.52%),(9.28%)
Nail Art & Nail Polish,L3,23%,134,0.00%,$176.21,35.58%,58.97%,(30.13%),(53.3%),(16.58%),21%,178,-11.74%,$960.34,31.54%,56.10%,(24.45%),(54.17%),(21.38%),21%,244,-31.59%,$3.99k,32.14%,58.84%,(23.75%),(56.67%),(19.52%),20%,418,-18.12%,$8.32k,27.48%,58.85%,(16.89%),(57.53%),(25.41%),21%,698,21.20%,$9.10k,28.70%,57.34%,(14.16%),(54.47%),(31.21%)
Herbal Medicine,L3,55%,7,0.00%,$3.30k,82.95%,100.00%,(11.05%),(83.62%),(5.33%),51%,11,-15.63%,$17.66k,81.13%,99.94%,(5.44%),(91.36%),(3.19%),53%,13,-12.07%,$74.10k,82.55%,99.78%,(4.58%),(91.52%),(3.89%),57%,18,3.55%,$154.27k,77.64%,99.44%,(3.42%),(75.79%),(19.72%),45%,42,133.85%,$94.39k,62.41%,96.65%,(2.55%),(69.99%),(26.6%)
Electric Saws,L3,60%,43,0.00%,$499.33,58.42%,83.15%,(1.07%),(85.26%),(13.67%),59%,55,-0.87%,$3.58k,60.33%,83.94%,(0.79%),(89.46%),(9.75%),58%,78,-24.61%,$12.34k,61.16%,83.41%,(0.63%),(90.17%),(9.17%),44%,112,10.60%,$23.52k,54.90%,79.66%,(0.95%),(82.39%),(15.78%),55%,183,35.57%,$25.01k,41.21%,75.19%,(0.98%),(79.65%),(18.84%)
Microphones,L3,20%,37,0.00%,$619.50,52.60%,91.18%,(0.02%),(88.79%),(11.19%),24%,50,-40.48%,$4.61k,68.01%,92.59%,(0.06%),(87.09%),(12.86%),14%,70,98.72%,$13.67k,65.95%,91.16%,(0.23%),(85.68%),(13.99%),12%,132,6.24%,$20.11k,55.33%,83.58%,(0.11%),(83.3%),(15.91%),12%,248,-15.82%,$23.42k,52.75%,83.95%,(0.05%),(85.89%),(13.27%)
Earrings,L3,17%,190,0.00%,$128.25,52.21%,68.81%,(42.2%),(29.28%),(28.53%),20%,239,-29.23%,$924.48,58.33%,72.84%,(41.22%),(32.01%),(26.77%),20%,292,-7.10%,$3.23k,51.86%,67.30%,(33.15%),(37.33%),(29.49%),18%,450,28.75%,$5.27k,47.42%,64.08%,(19.97%),(43.29%),(36.65%),17%,754,50.15%,$5.24k,44.50%,63.06%,(14.58%),(42.99%),(42.37%)
Sunglasses,L3,61%,99,0.00%,$175.78,25.67%,54.51%,(6.14%),(56.04%),(37.82%),67%,130,-30.13%,$1.24k,26.71%,58.56%,(8.13%),(62.8%),(29.08%),73%,168,-29.39%,$5.59k,28.66%,58.71%,(9.61%),(62.17%),(28.15%),82%,262,-39.23%,$15.52k,28.10%,54.14%,(3.39%),(62.34%),(33.35%),83%,425,15.80%,$17.83k,25.91%,52.90%,(2.09%),(57.74%),(39.63%)
Mascara,L3,2%,58,0.00%,$274.23,50.27%,74.93%,(6.79%),(80.44%),(12.77%),2%,75,-24.17%,$1.90k,51.37%,76.71%,(12.07%),(74.38%),(13.55%),3%,93,-58.58%,$10.09k,62.63%,82.93%,(6.35%),(82.14%),(11.32%),3%,164,7.11%,$18.23k,62.03%,81.62%,(5.54%),(81.6%),(11.96%),2%,339,56.23%,$14.47k,57.60%,77.55%,(5.38%),(78.9%),(15.09%)
Tote Bags,L3,17%,72,0.00%,$295.62,44.38%,78.31%,(16.9%),(63.62%),(19.48%),21%,92,-16.37%,$1.81k,50.68%,79.73%,(14.94%),(66.26%),(18.8%),23%,129,-21.85%,$7.27k,44.52%,79.25%,(10.83%),(66.84%),(22.3%),20%,221,32.71%,$12.10k,34.95%,72.72%,(10.07%),(62.97%),(26.54%),21%,431,-6.49%,$12.84k,37.47%,70.79%,(8.47%),(65.49%),(25.79%)
Charms & Pendants,L3,25%,221,0.00%,$165.76,66.55%,76.24%,(5.88%),(76.94%),(17.18%),25%,306,-30.89%,$884.26,62.70%,72.20%,(7.18%),(72.02%),(20.8%),19%,404,10.81%,$2.31k,50.32%,61.86%,(9.19%),(63.25%),(27.5%),17%,609,52.55%,$3.55k,32.59%,48.08%,(10.94%),(49.45%),(39.49%),21%,998,-23.05%,$4.98k,41.89%,54.74%,(8.64%),(54%),(37.21%)
Litter Trays & Boxes,L3,68%,13,0.00%,$1.44k,77.38%,99.63%,(0.99%),(86.4%),(12.61%),73%,25,-0.61%,$8.32k,90.50%,98.57%,(0.76%),(94.98%),(4.26%),73%,40,-15.86%,$23.18k,82.36%,96.64%,(1.96%),(93.23%),(3.95%),72%,61,-28.94%,$61.33k,81.19%,97.41%,(0.78%),(89.06%),(6.33%),67%,104,204.59%,$47.78k,83.32%,96.83%,(0.62%),(86.6%),(9.9%)
Body Scrubs & Peels,L3,27%,22,0.00%,$2.03k,90.02%,99.38%,(12.49%),(36.89%),(50.63%),16%,30,-8.13%,$6.97k,80.07%,98.15%,(23.13%),(43.59%),(33.28%),14%,41,-5.02%,$22.12k,82.47%,98.04%,(25.37%),(55.21%),(19.4%),16%,82,-12.12%,$41.47k,83.79%,95.96%,(32.57%),(43.69%),(23.43%),10%,173,117.07%,$28.71k,77.15%,93.50%,(30.88%),(43.29%),(25.1%)
Bedding Sets,L3,11%,5,0.00%,$3.92k,68.28%,100.00%,(1.17%),(96.91%),(1.92%),11%,5,-6.66%,$35.73k,71.77%,100.00%,(1.75%),(96.95%),(1.3%),12%,5,-27.50%,$180.09k,70.78%,100.00%,(1.81%),(96.33%),(1.85%),7%,5,54.65%,$389.30k,75.59%,100.00%,(0.97%),(92.15%),(6.27%),4%,5,4111.46%,$398.54k,75.74%,100.00%,(0.95%),(91.55%),(6.91%)
Sports Footwear,L2,3%,53,0.00%,$453.19,55.11%,84.42%,(20.57%),(60.72%),(18.71%),3%,72,-0.56%,$2.55k,56.80%,84.81%,(21.21%),(58.05%),(20.73%),3%,101,-23.07%,$8.89k,57.31%,83.38%,(23.62%),(54.59%),(21.74%),2%,154,25.96%,$16.37k,45.59%,78.87%,(14.65%),(53.9%),(31.01%),2%,205,235.85%,$15.96k,38.30%,76.30%,(11.77%),(55.28%),(32.6%)
Body Wash & Soap,L3,13%,43,0.00%,$506.60,57.92%,89.37%,(7.42%),(81.99%),(10.59%),14%,61,-21.82%,$2.95k,60.69%,85.45%,(8.09%),(77.8%),(14.11%),14%,78,-27.00%,$11.33k,51.88%,82.70%,(8.06%),(76.57%),(15.34%),12%,164,18.04%,$15.97k,46.46%,77.91%,(8.52%),(70.64%),(20.55%),22%,314,-66.20%,$33.02k,69.02%,85.44%,(3.88%),(84.57%),(11.28%)
Luggage,L3,58%,40,0.00%,$355.51,36.55%,76.29%,(7.79%),(75.06%),(17.14%),62%,66,-21.08%,$2.12k,39.13%,78.01%,(16.69%),(63.66%),(19.65%),65%,95,-42.84%,$9.20k,48.99%,80.03%,(23.5%),(59.43%),(16.93%),68%,171,-24.17%,$18.28k,47.26%,74.11%,(34.65%),(45.27%),(18.75%),56%,312,63.48%,$16.14k,39.25%,67.09%,(26.67%),(45.04%),(27.37%)
Essential Oil for Aromatherapy,L3,45%,22,0.00%,$848.70,85.90%,96.72%,(10.24%),(64.87%),(24.89%),49%,30,-42.17%,$6.16k,85.48%,95.54%,(12.67%),(58.21%),(29.12%),47%,39,11.36%,$22.00k,78.30%,94.64%,(15.84%),(65.15%),(19%),43%,71,37.60%,$29.60k,73.15%,90.50%,(15.24%),(60.78%),(23.1%),55%,151,-20.82%,$31.49k,52.79%,82.58%,(10.96%),(62.68%),(25.92%)
Wallets,L3,23%,73,0.00%,$401.87,70.17%,86.10%,(32.73%),(58.8%),(8.47%),20%,99,-3.17%,$1.58k,60.60%,80.14%,(25.71%),(61.15%),(13.14%),20%,139,-20.38%,$6.12k,66.02%,83.16%,(26.24%),(59.54%),(14.09%),21%,248,-10.05%,$11.43k,62.76%,80.52%,(22.84%),(55.4%),(20.41%),17%,N/A,N/A,N/A,N/A,N/A,(22.84%),(55.4%),(20.41%)
Storage Bottles & Jars,L3,20%,54,0.00%,$468.48,68.23%,94.78%,(0%),(89.76%),(10.24%),13%,86,7.30%,$1.72k,62.72%,89.81%,(1%),(81.7%),(17.3%),11%,127,-35.90%,$6.53k,66.34%,90.18%,(1.31%),(88.3%),(9.14%),13%,229,18.66%,$9.95k,57.82%,87.16%,(0.58%),(83.75%),(13.46%),16%,500,34.88%,$7.94k,45.98%,82.26%,(0.67%),(78.17%),(19.8%)
"Desktop Computers, Laptops & Tablets",L2,9%,15,0.00%,$1.53k,78.84%,99.37%,(1.3%),(90.38%),(8.32%),9%,20,-29.70%,$8.67k,66.26%,98.73%,(2.27%),(78.52%),(19.21%),9%,29,-36.65%,$28.57k,70.43%,96.76%,(2.21%),(81.77%),(15.82%),10%,52,-11.59%,$52.09k,72.38%,96.92%,(3.69%),(79.36%),(16.42%),7%,83,1063.56%,$35.44k,70.41%,95.57%,(4.4%),(77.07%),(18.04%)
Swimwear,L3,4%,83,0.00%,$151.57,30.16%,63.91%,(1.02%),(73.43%),(25.55%),5%,123,-18.13%,$902.71,34.78%,65.87%,(2.17%),(77.05%),(20.78%),7%,177,-53.26%,$4.64k,40.11%,66.14%,(1.88%),(81.63%),(16.48%),17%,302,-67.10%,$23.24k,38.08%,63.40%,(4.11%),(72.76%),(22.84%),15%,410,23.52%,$30.98k,34.29%,57.70%,(3.22%),(69.85%),(26.74%)
Polishing Machines & Accessories,L3,49%,1,0.00%,$18.79k,100.00%,100.00%,(0%),(100%),(0%),54%,1,-19.50%,$206.81k,100.00%,100.00%,(0%),(97.71%),(2.29%),42%,1,-15.69%,$819.54k,100.00%,100.00%,(0%),(90.5%),(9.46%),24%,1,109.61%,$1.55m,100.00%,100.00%,(0%),(88.77%),(9.95%),17%,1,7037.60%,$1.57m,100.00%,100.00%,(0%),(88.92%),(9.82%)
Laptop Stands & Trays,L3,47%,21,0.00%,$751.65,88.12%,97.73%,(10.16%),(86.5%),(3.34%),50%,39,-30.57%,$4.57k,87.19%,96.29%,(5.3%),(89.45%),(5.26%),47%,47,-18.29%,$17.43k,86.71%,96.53%,(3.31%),(92.66%),(4.01%),39%,82,18.62%,$23.76k,84.84%,95.87%,(1.47%),(89.45%),(7.76%),29%,150,1002.91%,$14.17k,80.18%,91.81%,(1.35%),(85.56%),(11.88%)
Sports Collectibles,L2,2%,3,0.00%,$4.88k,100.00%,100.00%,(0%),(100%),(0%),2%,5,-39.75%,$18.87k,99.37%,100.00%,(0.63%),(99.37%),(0%),3%,7,-35.72%,$112.92k,98.78%,100.00%,(1.19%),(92.94%),(5.81%),3%,17,-23.06%,$165.20k,83.35%,99.88%,(10.68%),(71.68%),(13.16%),2%,N/A,N/A,$221.40k,85.37%,99.91%,(15.53%),(56.87%),(18.37%)
Bathroom Fixtures,L2,16%,29,0.00%,$782.43,66.18%,91.95%,(6.38%),(85.64%),(7.99%),14%,40,3.01%,$4.09k,62.48%,90.10%,(7.64%),(79.55%),(12.81%),13%,59,-7.57%,$13.15k,60.83%,88.91%,(5.25%),(81.62%),(13.12%),12%,111,20.88%,$21.13k,61.19%,84.56%,(2.17%),(76.66%),(20.7%),13%,254,-2.94%,$18.75k,57.86%,83.69%,(1.55%),(74.01%),(24.19%)
Shower Equipment,L3,100%,29,0.00%,$782.43,66.18%,91.95%,(6.38%),(85.64%),(7.99%),100%,40,3.01%,$4.09k,62.48%,90.10%,(7.64%),(79.55%),(12.81%),100%,59,-7.57%,$13.15k,60.83%,88.91%,(5.25%),(81.62%),(13.12%),100%,111,20.88%,$21.13k,61.19%,84.56%,(2.17%),(76.66%),(20.7%),100%,254,-2.94%,$18.75k,57.86%,83.69%,(1.55%),(74.01%),(24.19%)
Cookware Sets,L3,31%,3,0.00%,$7.16k,100.00%,100.00%,(0%),(100%),(0%),22%,3,4.27%,$43.03k,100.00%,100.00%,(0%),(99.91%),(0.09%),27%,3,-45.86%,$258.02k,100.00%,100.00%,(0.13%),(98.84%),(0.02%),29%,3,-32.76%,$795.31k,100.00%,100.00%,(0.04%),(98.33%),(0.05%),12%,3,3699.28%,$816.24k,100.00%,100.00%,(0.04%),(98.34%),(0.07%)
Maternity Supplies,L2,37%,30,0.00%,$702.54,76.13%,94.11%,(2.05%),(92.46%),(5.49%),38%,51,-0.55%,$3.49k,72.18%,95.33%,(1.89%),(87.13%),(10.97%),32%,79,-17.83%,$9.75k,78.44%,94.85%,(1.58%),(92.03%),(6.34%),42%,152,-25.86%,$17.52k,73.58%,92.99%,(1.52%),(86.98%),(10.42%),36%,223,52.93%,$19.75k,71.64%,91.63%,(1%),(86.65%),(11.65%)
Makeup Sets,L3,3%,14,0.00%,$1.38k,90.04%,99.44%,(4.67%),(88.07%),(7.26%),1%,17,-10.89%,$5.48k,91.21%,98.89%,(4.53%),(91.53%),(3.94%),2%,19,-58.15%,$40.39k,95.68%,98.80%,(3.38%),(92.18%),(4.19%),2%,38,-17.67%,$64.93k,94.74%,98.16%,(3.6%),(90.21%),(4.76%),2%,83,164.90%,$40.95k,82.69%,95.47%,(4.9%),(82.5%),(11.54%)
Nasal Treatment,L3,5%,17,0.00%,$1.68k,98.47%,99.89%,(0.69%),(94.81%),(4.5%),5%,19,-9.52%,$11.16k,97.49%,99.89%,(0.83%),(95.37%),(3.8%),3%,28,221.33%,$27.04k,97.53%,99.71%,(0.96%),(94.63%),(4.41%),2%,56,49.42%,$25.29k,86.54%,97.79%,(2.66%),(77.64%),(19.39%),2%,102,17.30%,$25.72k,85.89%,96.73%,(2.65%),(80.99%),(15.3%)
Eye & Ear Care,L2,1%,32,0.00%,$414.91,59.76%,92.51%,(1.2%),(86.31%),(12.48%),1%,48,-42.90%,$2.88k,74.19%,93.70%,(0.49%),(91.23%),(8.28%),1%,71,-33.06%,$10.62k,70.48%,92.40%,(3.85%),(88.71%),(7.41%),1%,117,-33.81%,$25.15k,66.69%,92.66%,(1.33%),(69.33%),(28.07%),1%,272,-14.20%,$23.43k,48.84%,86.42%,(0.68%),(73.95%),(24.61%)
Bronzer & Highlighter,L3,2%,60,0.00%,$262.42,54.58%,79.58%,(8.68%),(77.46%),(13.87%),3%,79,-32.38%,$2.18k,58.63%,84.10%,(4.91%),(78.01%),(17.08%),2%,110,-26.42%,$6.78k,56.29%,78.89%,(5.36%),(79.96%),(14.64%),2%,196,7.52%,$12.55k,47.43%,72.40%,(6.83%),(74.77%),(17.63%),3%,360,-27.61%,$16.27k,52.35%,74.77%,(6.42%),(77.11%),(16.02%)
Sets,L3,21%,29,0.00%,$651.90,73.69%,95.65%,(4.55%),(92.93%),(2.52%),19%,46,-10.47%,$2.95k,69.07%,94.62%,(3.26%),(93.14%),(3.61%),20%,63,-23.38%,$11.65k,64.37%,93.30%,(5.99%),(88.01%),(5.99%),17%,108,0.40%,$22.99k,55.06%,92.69%,(4.91%),(85.64%),(8.61%),12%,184,233.96%,$17.54k,54.03%,87.72%,(5.82%),(82.91%),(10.61%)
Sheets & Pillowcases,L3,15%,28,0.00%,$1.01k,78.02%,97.24%,(18.35%),(69.61%),(12.04%),15%,36,-10.75%,$6.40k,78.37%,96.58%,(5.64%),(83.87%),(10.49%),9%,48,19.92%,$15.26k,68.48%,92.90%,(2.67%),(81.78%),(15.5%),9%,68,-21.33%,$36.21k,76.77%,92.66%,(1.17%),(83.8%),(13.46%),9%,148,43.51%,$28.23k,75.62%,90.81%,(1.04%),(83.43%),(14.25%)
Shirts,L3,8%,76,0.00%,$236.79,41.90%,70.22%,(6.53%),(71.17%),(22.3%),8%,108,-19.77%,$1.30k,43.00%,71.25%,(4.15%),(74.08%),(21.77%),9%,139,-22.32%,$5.27k,37.75%,67.12%,(5.5%),(71.3%),(23.18%),11%,219,-30.91%,$13.82k,33.76%,67.58%,(3.14%),(66.13%),(29.89%),11%,321,43.72%,$15.99k,29.41%,64.27%,(4.67%),(57.05%),(37.74%)
Cleaning & Care Fluids,L3,35%,18,0.00%,$756.69,78.57%,98.69%,(39.22%),(54.14%),(6.64%),31%,28,-28.39%,$4.23k,77.38%,98.01%,(32.94%),(58.31%),(8.75%),37%,44,-33.86%,$16.63k,76.82%,97.17%,(28.23%),(65.1%),(6.66%),43%,89,-29.86%,$31.46k,69.58%,93.63%,(26.75%),(57.61%),(14.09%),38%,158,241.75%,$22.90k,58.73%,89.21%,(25.28%),(57.02%),(16.49%)
Camera Accessories,L3,31%,41,0.00%,$916.66,86.24%,95.20%,(0.77%),(97.76%),(1.47%),27%,63,-48.11%,$3.95k,81.79%,94.19%,(0.82%),(96.98%),(2.2%),19%,91,36.39%,$8.03k,73.69%,89.72%,(1.42%),(93.55%),(4.92%),16%,165,-35.69%,$16.44k,76.19%,90.23%,(1.63%),(89.69%),(6.72%),17%,287,-19.16%,$21.14k,75.37%,91.03%,(0.94%),(88.21%),(8.4%)
Baby Vitamins & Supplements,L3,59%,15,0.00%,$625.46,79.00%,98.03%,(0%),(96.58%),(3.42%),63%,20,-21.57%,$4.24k,79.24%,98.25%,(1.7%),(95.38%),(2.92%),73%,30,-52.73%,$24.12k,84.32%,98.03%,(0.42%),(96.51%),(3.02%),60%,47,267.72%,$22.43k,72.03%,96.47%,(1.1%),(87.6%),(10.65%),59%,61,381.74%,$20.87k,71.98%,96.21%,(1.01%),(86.26%),(12.1%)
Synthetic Costume Wigs,L3,9%,4,0.00%,$5.84k,92.87%,100.00%,(37.64%),(62.36%),(0%),7%,4,-11.09%,$36.41k,94.67%,100.00%,(38%),(62%),(0%),7%,4,-18.52%,$179.19k,95.00%,100.00%,(32.48%),(67%),(0.46%),7%,4,-10.13%,$514.97k,94.74%,100.00%,(28.75%),(68.68%),(2.53%),4%,4,1070.39%,$558.97k,94.53%,100.00%,(28.23%),(69.32%),(2.41%)
Water Sports Equipment,L2,2%,105,0.00%,$138.13,25.50%,58.23%,(9.46%),(70.91%),(19.63%),2%,164,35.96%,$877.50,36.23%,62.26%,(13.28%),(52.56%),(34.16%),2%,259,-34.37%,$2.74k,20.54%,49.12%,(11.03%),(63.77%),(25.17%),4%,495,-56.08%,$8.06k,19.47%,45.90%,(8.29%),(62.75%),(28.68%),4%,755,24.96%,$9.52k,17.57%,41.70%,(7.23%),(60.46%),(32.14%)
Vests,L3,62%,14,0.00%,$1.07k,96.10%,99.58%,(0.12%),(97.63%),(2.25%),60%,19,-9.60%,$8.01k,96.64%,99.59%,(0.22%),(98.48%),(1.3%),60%,26,-18.53%,$26.89k,96.19%,99.24%,(0.37%),(97.5%),(2.12%),51%,48,70.40%,$33.11k,93.00%,98.35%,(0.5%),(90.75%),(8.63%),54%,90,47.35%,$29.64k,77.15%,97.19%,(1.04%),(88.37%),(10.52%)
Instant Food,L2,4%,72,0.00%,$251.82,48.89%,69.87%,(14.53%),(69.62%),(15.85%),4%,117,-10.66%,$1.26k,48.70%,70.05%,(9.61%),(71.46%),(18.93%),5%,172,-23.46%,$4.05k,44.51%,68.49%,(11.32%),(69.7%),(18.43%),7%,325,-44.81%,$10.64k,51.87%,72.01%,(6.37%),(50.44%),(39.93%),7%,511,1.81%,$13.41k,39.91%,66.14%,(5.87%),(60.1%),(31.96%)
Parenting & Family,L3,40%,22,0.00%,$1.28k,93.22%,98.77%,(2.1%),(96.97%),(0.93%),43%,29,-41.05%,$8.20k,92.82%,98.83%,(1.85%),(95.16%),(2.99%),38%,39,211.18%,$17.86k,89.66%,97.99%,(1.66%),(93.84%),(4.5%),42%,61,-42.76%,$43.46k,93.69%,98.02%,(0.78%),(92.47%),(6.68%),30%,103,260.60%,$32.88k,90.85%,97.08%,(1.15%),(85.16%),(13.63%)
Kitchen Knives,L2,6%,52,0.00%,$264.05,37.51%,72.63%,(4.64%),(83.1%),(12.26%),5%,76,-13.01%,$1.46k,35.59%,75.44%,(2.44%),(83.27%),(14.29%),6%,109,-36.13%,$6.34k,39.72%,75.77%,(5.36%),(74.37%),(20.05%),6%,163,-12.21%,$13.59k,39.72%,72.34%,(4.26%),(71.22%),(23.76%),6%,417,27.23%,$9.49k,35.13%,70.04%,(3.46%),(68.48%),(27.4%)
Candles,L3,37%,65,0.00%,$363.26,69.93%,89.07%,(14.99%),(75.67%),(9.34%),40%,97,-35.09%,$2.69k,71.37%,88.58%,(13.87%),(75.61%),(10.52%),26%,147,79.78%,$4.56k,59.96%,81.06%,(16.99%),(66.54%),(16.44%),18%,241,107.65%,$5.61k,49.98%,71.24%,(18.52%),(52.2%),(29.04%),20%,598,-24.67%,$5.26k,44.99%,67.12%,(12.96%),(53.16%),(33.77%)
Decoration,L3,86%,4,0.00%,$9.05k,99.26%,100.00%,(1.53%),(97.28%),(1.18%),85%,4,59.70%,$72.66k,99.18%,100.00%,(6.49%),(84.98%),(8.53%),66%,4,55.60%,$165.60k,98.56%,100.00%,(7.18%),(85.05%),(7.76%),60%,4,-10.33%,$535.63k,97.16%,100.00%,(10.9%),(75.32%),(13.4%),45%,4,950.36%,$586.63k,96.75%,100.00%,(11.56%),(75.83%),(12.26%)
Building Toys,L3,18%,36,0.00%,$246.72,56.80%,82.59%,(9.79%),(82.93%),(7.28%),22%,54,-34.35%,$1.72k,63.14%,84.66%,(7.57%),(82.34%),(10.09%),31%,89,-50.22%,$7.40k,70.37%,84.01%,(8.36%),(81.98%),(9.58%),27%,147,-1.70%,$14.02k,54.37%,77.09%,(8.03%),(70.41%),(21.07%),25%,208,77.86%,$15.48k,40.17%,69.68%,(8.5%),(66.29%),(24.77%)
Swimming,L3,99%,104,0.00%,$138.22,25.73%,58.76%,(9.54%),(70.8%),(19.66%),100%,162,36.20%,$885.43,36.34%,62.47%,(13.32%),(52.51%),(34.16%),92%,253,-27.07%,$2.59k,21.21%,48.21%,(10.83%),(62.79%),(26.35%),92%,487,-54.50%,$7.57k,18.35%,45.29%,(7.26%),(63.87%),(28.58%),96%,740,15.61%,$9.29k,18.37%,42.04%,(6.63%),(61%),(32.2%)
Measuring Utensils,L3,27%,25,0.00%,$560.55,87.90%,98.09%,(0.33%),(87.6%),(12.07%),32%,38,-28.93%,$4.11k,92.56%,98.57%,(0.75%),(92.38%),(6.87%),25%,58,-0.05%,$11.26k,91.56%,97.81%,(0.7%),(90.69%),(8.58%),31%,109,-40.30%,$24.96k,93.82%,97.93%,(0.43%),(90.97%),(7.63%),35%,333,-3.34%,$16.62k,92.46%,95.85%,(0.33%),(91.42%),(7.77%)
Dog & Cat Furniture,L2,12%,69,0.00%,$290.68,56.89%,80.73%,(2.89%),(89.51%),(7.6%),9%,111,-3.31%,$1.29k,44.39%,74.33%,(1.89%),(85.66%),(12.44%),10%,166,-22.68%,$3.93k,38.34%,63.83%,(2.76%),(81.57%),(15.66%),10%,301,9.54%,$6.88k,32.62%,60.21%,(1.97%),(77.36%),(20.17%),10%,523,49.65%,$6.60k,25.36%,52.20%,(1.56%),(70.45%),(27.65%)
Fans,L3,4%,22,0.00%,$551.34,51.27%,90.78%,(9.31%),(84.29%),(6.4%),3%,36,-23.85%,$2.88k,49.79%,90.02%,(10.17%),(82.33%),(7.5%),6%,43,-42.81%,$15.18k,54.77%,89.55%,(6.75%),(88.49%),(4.35%),12%,93,-63.32%,$48.60k,68.24%,90.53%,(1.24%),(87.32%),(10.21%),8%,145,296.76%,$39.03k,65.49%,88.86%,(1.02%),(85.68%),(12.09%)
Deodorants & Antiperspirants,L3,10%,30,0.00%,$529.26,58.76%,89.83%,(17.08%),(72.45%),(10.47%),12%,42,-29.02%,$3.64k,54.33%,88.92%,(18.28%),(68.73%),(12.99%),10%,63,-8.60%,$10.28k,57.11%,86.09%,(15.27%),(73.22%),(11.5%),8%,112,22.23%,$14.80k,49.74%,81.12%,(15.21%),(66.06%),(17.56%),8%,179,-25.07%,$21.62k,51.44%,78.02%,(9.92%),(68.82%),(20.42%)
Shoes,L3,67%,1,0.00%,$9.87k,100.00%,100.00%,(0%),(100%),(0%),66%,1,-24.77%,$61.99k,100.00%,100.00%,(0%),(100%),(0%),82%,1,-53.37%,$644.79k,100.00%,100.00%,(0%),(97.74%),(2.18%),72%,1,5.37%,$2.03m,100.00%,100.00%,(0%),(90.99%),(8.58%),57%,1,1532.68%,$2.16m,100.00%,100.00%,(0%),(91.51%),(8.09%)
Phone Holders & Mounts,L3,7%,70,0.00%,$230.87,51.70%,75.23%,(8.05%),(76.84%),(15.11%),9%,106,-16.40%,$1.38k,57.74%,78.40%,(14.28%),(72.03%),(13.69%),8%,135,-10.29%,$4.78k,49.88%,73.87%,(15.44%),(68.81%),(15.64%),6%,228,-6.80%,$8.33k,30.47%,62.63%,(9.12%),(63.63%),(26.73%),6%,534,13.22%,$6.70k,20.87%,51.73%,(5.71%),(59.99%),(33.78%)
Functional Bags,L2,4%,19,0.00%,$489.36,45.20%,91.88%,(10.81%),(82.28%),(6.91%),6%,38,-21.35%,$2.36k,51.83%,90.86%,(17.5%),(74.66%),(7.84%),8%,66,-36.41%,$9.60k,51.82%,91.85%,(17.59%),(76.06%),(6.1%),7%,106,24.17%,$18.43k,48.29%,89.22%,(17.69%),(69.57%),(12.32%),5%,199,143.45%,$13.85k,46.70%,85.05%,(15.21%),(69.66%),(14.83%)
