category_name,category_level,category_change_in_revenue_Yesterday,category_no_of_shops_Yesterday,category_revenue_growth_rate_Yesterday,category_avg_revenue_per_shop_Yesterday,category_top_3_shops_revenue_ratio_Yesterday,category_top_10_shops_revenue_ratio_Yesterday,category_soa_revenue_share_Yesterday,category_aff_revenue_share_Yesterday,category_mall_revenue_share_Yesterday,category_change_in_revenue_Last_7_Days,category_no_of_shops_Last_7_Days,category_revenue_growth_rate_Last_7_Days,category_avg_revenue_per_shop_Last_7_Days,category_top_3_shops_revenue_ratio_Last_7_Days,category_top_10_shops_revenue_ratio_Last_7_Days,category_soa_revenue_share_Last_7_Days,category_aff_revenue_share_Last_7_Days,category_mall_revenue_share_Last_7_Days,category_change_in_revenue_Last_30_Days,category_no_of_shops_Last_30_Days,category_revenue_growth_rate_Last_30_Days,category_avg_revenue_per_shop_Last_30_Days,category_top_3_shops_revenue_ratio_Last_30_Days,category_top_10_shops_revenue_ratio_Last_30_Days,category_soa_revenue_share_Last_30_Days,category_aff_revenue_share_Last_30_Days,category_mall_revenue_share_Last_30_Days,category_change_in_revenue_Last_90_Days,category_no_of_shops_Last_90_Days,category_revenue_growth_rate_Last_90_Days,category_avg_revenue_per_shop_Last_90_Days,category_top_3_shops_revenue_ratio_Last_90_Days,category_top_10_shops_revenue_ratio_Last_90_Days,category_soa_revenue_share_Last_90_Days,category_aff_revenue_share_Last_90_Days,category_mall_revenue_share_Last_90_Days,category_change_in_revenue_Last_180_Days,category_no_of_shops_Last_180_Days,category_revenue_growth_rate_Last_180_Days,category_avg_revenue_per_shop_Last_180_Days,category_top_3_shops_revenue_ratio_Last_180_Days,category_top_10_shops_revenue_ratio_Last_180_Days,category_soa_revenue_share_Last_180_Days,category_aff_revenue_share_Last_180_Days,category_mall_revenue_share_Last_180_Days
Computers & Office Equipment,L1,2%,663,0.00%,$368.91,19.09%,42.71%,(17.19%),(70.28%),(12.53%),2%,991,-21.17%,$2.02k,20.12%,39.56%,(12.95%),(72.5%),(14.55%),2%,1460,-18.90%,$6.28k,20.46%,37.37%,(11.9%),(72.08%),(15.91%),2%,2367,3.76%,$11.20k,15.92%,32.75%,(10.17%),(63.42%),(25.83%),2%,3783,25.45%,$12.60k,13.52%,28.59%,(9.35%),(62.38%),(27.79%)
Furniture,L1,2%,102,0.00%,$2.01k,32.01%,72.28%,(5.53%),(87.8%),(6.68%),2%,159,-14.26%,$10.41k,31.48%,66.81%,(3.51%),(84.78%),(11.71%),2%,256,-35.64%,$35.40k,35.08%,67.63%,(3.22%),(85.38%),(11.24%),2%,496,-19.56%,$58.82k,35.11%,65.95%,(2.07%),(78.4%),(17.39%),2%,793,-1.71%,$74.22k,37.96%,63.09%,(1.48%),(75.19%),(22.11%)
Human Hair Silk Base Lace Wigs,L3,88%,192,0.00%,$1.22k,25.55%,48.39%,(22.59%),(66.27%),(11.13%),89%,233,-20.73%,$7.85k,22.14%,46.39%,(17.27%),(68.16%),(14.57%),89%,277,-20.47%,$32.44k,24.94%,49.92%,(15.61%),(69.15%),(15.16%),89%,401,2.04%,$67.46k,25.94%,49.82%,(15.69%),(64.03%),(19.95%),92%,631,-2.32%,$86.76k,27.10%,52.58%,(15.4%),(64.36%),(20.07%)
Curlers & Straighteners,L3,49%,65,0.00%,$3.39k,89.10%,95.21%,(5.41%),(92.56%),(2.03%),47%,86,-11.64%,$22.24k,86.88%,94.03%,(3.59%),(92.73%),(3.69%),45%,116,-1.00%,$77.38k,86.70%,94.05%,(4.51%),(92.47%),(2.94%),41%,202,30.12%,$113.29k,80.30%,92.40%,(4.21%),(87.48%),(7.88%),41%,407,29.31%,$99.71k,76.09%,87.84%,(4.23%),(84.42%),(11.02%)
Beauty Supplements,L3,19%,57,0.00%,$3.71k,62.60%,91.43%,(6.51%),(92.41%),(1.08%),22%,84,-12.51%,$19.98k,63.57%,90.51%,(4.77%),(90.71%),(4.52%),22%,131,-26.99%,$68.37k,64.03%,89.01%,(3.68%),(91.36%),(4%),18%,236,19.69%,$97.59k,61.84%,86.11%,(4.43%),(86.7%),(5.89%),25%,444,-38.88%,$136.74k,74.22%,89.85%,(3.7%),(89.27%),(5.23%)
Men's Tops,L2,62%,626,0.00%,$405.12,19.69%,43.73%,(10.49%),(72.74%),(16.78%),60%,926,-15.67%,$2.11k,14.67%,37.26%,(10.19%),(71.26%),(18.54%),56%,1419,-11.64%,$6.28k,14.32%,29.37%,(10%),(67.59%),(22.38%),57%,2236,-10.98%,$13.15k,11.67%,26.98%,(8.15%),(56.82%),(34.67%),62%,3631,26.10%,$14.52k,9.75%,23.31%,(9.23%),(50.41%),(40.14%)
Makeup Tools,L3,28%,407,0.00%,$503.19,30.78%,55.59%,(6.89%),(82.19%),(10.91%),26%,542,-13.05%,$3.22k,29.75%,56.59%,(8.39%),(76.01%),(15.61%),25%,703,-17.17%,$11.93k,31.90%,55.49%,(6.28%),(78.16%),(15.41%),23%,1185,4.06%,$20.90k,30.49%,52.92%,(6.37%),(72.66%),(20.04%),22%,2027,21.65%,$22.26k,25.09%,48.47%,(7.41%),(69.12%),(22.87%)
Luggage & Bags,L1,2%,442,0.00%,$468.10,27.88%,49.95%,(24.37%),(61.72%),(13.91%),2%,625,-7.84%,$2.38k,24.70%,44.99%,(16.6%),(67.21%),(16.18%),2%,859,-26.50%,$9.41k,23.41%,45.20%,(15.59%),(66.92%),(17.29%),2%,1390,-4.25%,$19.41k,23.44%,41.61%,(17.19%),(59.12%),(22.88%),2%,2313,10.75%,$22.20k,19.74%,38.07%,(15.28%),(57.4%),(26.82%)
Home Organizers,L2,25%,376,0.00%,$386.48,48.61%,67.96%,(3.9%),(85.45%),(10.64%),25%,545,-2.01%,$2.36k,56.28%,70.74%,(3.71%),(85.36%),(10.94%),32%,759,-52.55%,$10.58k,65.09%,77.46%,(3.65%),(86.92%),(9.07%),29%,1295,60.08%,$14.00k,52.13%,66.88%,(2.6%),(79.76%),(16.8%),27%,2577,80.53%,$10.93k,35.98%,51.64%,(2.26%),(70.77%),(26.38%)
Bedding,L2,78%,198,0.00%,$958.66,28.03%,54.61%,(6.63%),(84.77%),(8.6%),80%,280,-16.72%,$5.77k,23.74%,52.96%,(3.75%),(87.15%),(9.1%),79%,372,-17.23%,$21.41k,20.30%,48.62%,(3.31%),(86.76%),(9.67%),82%,562,-9.29%,$50.56k,29.21%,50.15%,(2.46%),(81.98%),(14.43%),81%,1044,57.03%,$44.55k,22.14%,48.74%,(2.82%),(78.25%),(17.93%)
