shop_name,shop_type,shop_earliest_date_recorded,shop_soa_revenue_Yesterday,shop_soa_revenue_per_day_Yesterday,shop_affiliate_revenue_Yesterday,shop_affiliate_revenue_per_day_Yesterday,shop_soa_revenue_share_Yesterday,shop_aff_revenue_share_Yesterday,shop_mall_revenue_share_Yesterday,shop_soa_revenue_Last 7 Days,shop_soa_revenue_per_day_Last 7 Days,shop_affiliate_revenue_Last 7 Days,shop_affiliate_revenue_per_day_Last 7 Days,shop_soa_revenue_share_Last 7 Days,shop_aff_revenue_share_Last 7 Days,shop_mall_revenue_share_Last 7 Days,shop_soa_revenue_Last 30 Days,shop_soa_revenue_per_day_Last 30 Days,shop_affiliate_revenue_Last 30 Days,shop_affiliate_revenue_per_day_Last 30 Days,shop_soa_revenue_share_Last 30 Days,shop_aff_revenue_share_Last 30 Days,shop_mall_revenue_share_Last 30 Days,shop_soa_revenue_Last 90 Days,shop_soa_revenue_per_day_Last 90 Days,shop_affiliate_revenue_Last 90 Days,shop_affiliate_revenue_per_day_Last 90 Days,shop_soa_revenue_share_Last 90 Days,shop_aff_revenue_share_Last 90 Days,shop_mall_revenue_share_Last 90 Days,shop_soa_revenue_Last 180 Days,shop_soa_revenue_per_day_Last 180 Days,shop_affiliate_revenue_Last 180 Days,shop_affiliate_revenue_per_day_Last 180 Days,shop_soa_revenue_share_Last 180 Days,shop_aff_revenue_share_Last 180 Days,shop_mall_revenue_share_Last 180 Days
CAER Auto Parts Global Store,BRAND,08/17/2023,$8.29k,$0.00 Per Day,$7.42k,$7.42k Per Day,(0%),(89.51%),(10.49%),$64.65k,$0.00 Per Day,$56.73k,$8.10k Per Day,(0%),(87.75%),(12.25%),$239.97k,$0.00 Per Day,$211.62k,$7.05k Per Day,(0%),(88.18%),(11.82%),$676.15k,$0.00 Per Day,$563.62k,$6.26k Per Day,(0%),(83.36%),(16.64%),$1.34m,$0.00 Per Day,$1.06m,$5.90k Per Day,(0%),(79.23%),(20.77%)
FTR fashion shoes shop,RETAILER,12/12/2023,$1.26k,$0.00 Per Day,$1.19k,$1.19k Per Day,(0%),(94.36%),(5.64%),$48.58k,$0.00 Per Day,$48.16k,$6.88k Per Day,(0%),(99.13%),(0.87%),$233.46k,$0.00 Per Day,$230.67k,$7.69k Per Day,(0%),(98.81%),(1.19%),$704.59k,$0.00 Per Day,$588.42k,$6.54k Per Day,(0%),(83.51%),(16.49%),$927.53k,$0.00 Per Day,$738.01k,$4.10k Per Day,(0%),(79.57%),(20.43%)
BK Beauty Brushes,RETAILER,08/23/2023,$2.95k,$202.00 Per Day,$2.74k,$2.74k Per Day,(6.86%),(93.14%),(0%),$21.37k,$164.00 Per Day,$17.93k,$2.56k Per Day,(5.37%),(83.89%),(10.74%),$235.15k,$4.26k Per Day,$96.37k,$3.21k Per Day,(54.3%),(40.98%),(4.72%),$1.26m,$4.49k Per Day,$724.40k,$8.05k Per Day,(31.97%),(57.32%),(10.71%),$3.46m,$4.84k Per Day,$2.22m,$12.35k Per Day,(25.16%),(64.17%),(10.66%)
EVERFLOW TRADING LLC,RETAILER,03/02/2024,$5.83k,$0.00 Per Day,$5.82k,$5.82k Per Day,(0%),(99.73%),(0.27%),$39.20k,$0.00 Per Day,$39.00k,$5.57k Per Day,(0%),(99.51%),(0.49%),$233.44k,$0.00 Per Day,$232.46k,$7.75k Per Day,(0%),(99.58%),(0.42%),$814.93k,$0.00 Per Day,$680.87k,$7.57k Per Day,(0%),(83.55%),(16.45%),$1.12m,$0.00 Per Day,$837.24k,$4.65k Per Day,(0%),(74.99%),(25.01%)
BXYY,RETAILER,12/12/2023,$2.77k,$0.00 Per Day,$2.77k,$2.77k Per Day,(0%),(100%),(0%),$24.54k,$0.00 Per Day,$23.04k,$3.29k Per Day,(0%),(93.86%),(6.14%),$226.14k,$105.59 Per Day,$211.77k,$7.06k Per Day,(1.4%),(93.65%),(4.95%),$935.80k,$63.51 Per Day,$860.28k,$9.56k Per Day,(0.61%),(91.93%),(7.46%),$1.51m,$31.76 Per Day,$1.41m,$7.83k Per Day,(0.38%),(93.07%),(6.55%)
Gringasrimdips,RETAILER,09/09/2023,$9.44k,$72.32 Per Day,$9.36k,$9.36k Per Day,(0.77%),(99.17%),(0.07%),$62.70k,$995.53 Per Day,$55.64k,$7.95k Per Day,(11.11%),(88.74%),(0.15%),$242.46k,$921.84 Per Day,$213.15k,$7.11k Per Day,(11.41%),(87.91%),(0.68%),$738.84k,$308.06 Per Day,$680.98k,$7.57k Per Day,(3.75%),(92.17%),(4.08%),$1.15m,$169.51 Per Day,$1.08m,$5.98k Per Day,(2.65%),(93.34%),(4.01%)
ST Designs,RETAILER,11/30/2023,$5.23k,$1.96k Per Day,$2.39k,$2.39k Per Day,(37.41%),(45.71%),(16.88%),$15.11k,$809.41 Per Day,$6.79k,$970.38 Per Day,(37.51%),(44.97%),(17.52%),$242.52k,$1.04k Per Day,$13.46k,$448.59 Per Day,(12.84%),(5.55%),(81.61%),$336.33k,$816.71 Per Day,$24.12k,$267.95 Per Day,(21.85%),(7.17%),(70.98%),$420.51k,$648.34 Per Day,$29.13k,$161.84 Per Day,(27.75%),(6.93%),(65.32%)
GobiDex Cubes,RETAILER,03/11/2024,$6.60k,$0.00 Per Day,$6.60k,$6.60k Per Day,(0%),(100%),(0%),$35.88k,$0.00 Per Day,$35.79k,$5.11k Per Day,(0%),(99.74%),(0.26%),$219.19k,$0.00 Per Day,$218.72k,$7.29k Per Day,(0%),(99.78%),(0.22%),$636.46k,$0.00 Per Day,$596.00k,$6.62k Per Day,(0%),(93.64%),(6.36%),$715.64k,$0.00 Per Day,$657.71k,$3.67k Per Day,(0%),(91.91%),(8.09%)
Modest clothes,RETAILER,01/19/2024,$18.45k,$0.00 Per Day,$17.94k,$17.94k Per Day,(0%),(97.25%),(2.75%),$90.34k,$0.00 Per Day,$86.37k,$12.34k Per Day,(0%),(95.61%),(4.39%),$251.48k,$0.00 Per Day,$238.13k,$7.94k Per Day,(0%),(94.69%),(5.31%),$295.56k,$0.00 Per Day,$277.60k,$3.08k Per Day,(0%),(93.92%),(6.08%),$339.55k,$0.00 Per Day,$291.49k,$1.62k Per Day,(0%),(85.85%),(14.15%)
Adriana Nichole Cosmetics,RETAILER,07/25/2023,$4.90k,$1.98k Per Day,$2.80k,$2.80k Per Day,(40.47%),(57.26%),(2.27%),$36.69k,$1.51k Per Day,$25.86k,$3.70k Per Day,(28.8%),(70.49%),(0.71%),$236.27k,$1.94k Per Day,$171.42k,$5.71k Per Day,(24.66%),(72.55%),(2.79%),$861.05k,$3.21k Per Day,$493.57k,$5.48k Per Day,(33.54%),(57.32%),(9.14%),$1.10m,$2.24k Per Day,$598.23k,$3.32k Per Day,(36.89%),(54.61%),(8.5%)
GQF BODYSUIT.,BRAND,02/01/2024,$8.51k,$0.00 Per Day,$8.23k,$8.23k Per Day,(0%),(96.78%),(3.22%),$44.81k,$0.00 Per Day,$43.09k,$6.16k Per Day,(0%),(96.15%),(3.85%),$232.04k,$0.00 Per Day,$229.01k,$7.63k Per Day,(0%),(98.69%),(1.31%),$895.63k,$0.00 Per Day,$837.70k,$9.31k Per Day,(0%),(93.53%),(6.47%),$1.65m,$0.00 Per Day,$1.53m,$8.51k Per Day,(0%),(92.8%),(7.2%)
StarWin Intelligent,RETAILER,08/16/2023,$9.07k,$0.00 Per Day,$9.07k,$9.07k Per Day,(0%),(100%),(0%),$59.93k,$0.00 Per Day,$57.33k,$8.19k Per Day,(0%),(95.66%),(4.34%),$237.71k,$0.00 Per Day,$233.61k,$7.79k Per Day,(0%),(98.28%),(1.72%),$1.15m,$0.00 Per Day,$995.06k,$11.06k Per Day,(0%),(86.85%),(13.15%),$1.95m,$0.00 Per Day,$1.74m,$9.68k Per Day,(0%),(89.2%),(10.8%)
Papá Nicho's Carne Seca,RETAILER,01/15/2024,$7.83k,$0.00 Per Day,$7.79k,$7.79k Per Day,(0%),(99.46%),(0.54%),$59.39k,$0.00 Per Day,$58.99k,$8.43k Per Day,(0%),(99.33%),(0.67%),$243.62k,$0.00 Per Day,$236.53k,$7.88k Per Day,(0%),(97.09%),(2.91%),$611.91k,$0.00 Per Day,$545.63k,$6.06k Per Day,(0%),(89.17%),(10.83%),$999.60k,$0.00 Per Day,$807.13k,$4.48k Per Day,(0%),(80.75%),(19.25%)
Shan Beibei,BRAND,09/09/2023,$4.70k,$0.00 Per Day,$4.61k,$4.61k Per Day,(0%),(98.12%),(1.88%),$32.11k,$0.00 Per Day,$30.03k,$4.29k Per Day,(0%),(93.51%),(6.49%),$236.15k,$0.00 Per Day,$213.69k,$7.12k Per Day,(0%),(90.49%),(9.51%),$882.04k,$0.00 Per Day,$833.32k,$9.26k Per Day,(0%),(94.48%),(5.52%),$1.31m,$0.00 Per Day,$1.23m,$6.81k Per Day,(0%),(93.42%),(6.58%)
Belife Clean,BRAND,09/12/2023,$6.29k,$3.90k Per Day,$2.20k,$2.20k Per Day,(61.97%),(35.01%),(3.02%),$75.20k,$8.19k Per Day,$16.66k,$2.38k Per Day,(76.21%),(22.15%),(1.64%),$234.68k,$3.84k Per Day,$111.05k,$3.70k Per Day,(49.03%),(47.32%),(3.65%),$616.95k,$1.39k Per Day,$452.32k,$5.03k Per Day,(20.21%),(73.32%),(6.47%),$1.23m,$692.71 Per Day,$1.04m,$5.76k Per Day,(10.11%),(84.06%),(5.83%)
O Positiv,RETAILER,10/25/2023,$6.91k,$0.00 Per Day,$6.91k,$6.91k Per Day,(0%),(100%),(0%),$43.87k,$0.00 Per Day,$43.87k,$6.27k Per Day,(0%),(100%),(0%),$232.45k,$0.00 Per Day,$229.51k,$7.65k Per Day,(0%),(98.73%),(1.27%),$556.22k,$0.00 Per Day,$521.39k,$5.79k Per Day,(0%),(93.74%),(6.26%),$780.18k,$0.00 Per Day,$727.32k,$4.04k Per Day,(0%),(93.22%),(6.78%)
Damyuan shoes shop,RETAILER,09/30/2023,$7.97k,$0.00 Per Day,$7.71k,$7.71k Per Day,(0%),(96.74%),(3.26%),$49.08k,$0.00 Per Day,$48.73k,$6.96k Per Day,(0%),(99.28%),(0.72%),$233.30k,$0.00 Per Day,$229.44k,$7.65k Per Day,(0%),(98.35%),(1.65%),$1.07m,$0.00 Per Day,$985.48k,$10.95k Per Day,(0%),(92.26%),(7.74%),$2.18m,$0.00 Per Day,$2.03m,$11.30k Per Day,(0%),(93.38%),(6.62%)
BRICHER,RETAILER,11/28/2023,$8.46k,$0.00 Per Day,$8.26k,$8.26k Per Day,(0%),(97.61%),(2.39%),$75.31k,$0.00 Per Day,$74.75k,$10.68k Per Day,(0%),(99.25%),(0.75%),$234.06k,$9.43 Per Day,$227.50k,$7.58k Per Day,(0.12%),(97.2%),(2.68%),$1.40m,$4.85 Per Day,$1.33m,$14.81k Per Day,(0.03%),(95.25%),(4.72%),$2.15m,$3.49 Per Day,$2.07m,$11.49k Per Day,(0.03%),(96.22%),(3.75%)
Secret Labs USA,BRAND,10/13/2023,$4.15k,$790.10 Per Day,$3.32k,$3.32k Per Day,(19.03%),(79.99%),(0.98%),$38.16k,$1.39k Per Day,$27.46k,$3.92k Per Day,(25.51%),(71.95%),(2.54%),$234.21k,$1.83k Per Day,$170.56k,$5.69k Per Day,(23.42%),(72.82%),(3.76%),$751.21k,$1.54k Per Day,$520.43k,$5.78k Per Day,(18.39%),(69.28%),(12.33%),$1.54m,$1.48k Per Day,$1.16m,$6.44k Per Day,(17.38%),(75.5%),(7.12%)
Rippinwax Breaks,RETAILER,08/03/2024,$0.00,$0.00 Per Day,$0.00,$0.00 Per Day,(NaN%),(NaN%),(NaN%),$66.65k,$0.00 Per Day,$5.75k,$821.43 Per Day,(0%),(8.63%),(91.37%),$232.61k,$0.00 Per Day,$78.44k,$2.61k Per Day,(0%),(33.72%),(66.28%),$232.61k,$0.00 Per Day,$78.44k,$2.45k Per Day,(0%),(33.72%),(66.28%),$232.61k,$0.00 Per Day,$78.44k,$2.45k Per Day,(0%),(33.72%),(66.28%)
Umay US,RETAILER,05/14/2024,$11.11k,$0.00 Per Day,$10.98k,$10.98k Per Day,(0%),(98.79%),(1.21%),$48.67k,$0.00 Per Day,$47.56k,$6.79k Per Day,(0%),(97.71%),(2.29%),$232.85k,$0.00 Per Day,$223.82k,$7.46k Per Day,(0%),(96.12%),(3.88%),$602.88k,$0.00 Per Day,$491.07k,$5.46k Per Day,(0%),(81.45%),(18.55%),$603.71k,$0.00 Per Day,$491.60k,$4.27k Per Day,(0%),(81.43%),(18.57%)
QINSEN,BRAND,09/20/2023,$7.43k,$0.00 Per Day,$7.19k,$7.19k Per Day,(0%),(96.75%),(3.25%),$62.28k,$0.00 Per Day,$57.03k,$8.15k Per Day,(0%),(91.57%),(8.43%),$227.42k,$0.00 Per Day,$209.23k,$6.97k Per Day,(0%),(92%),(8%),$780.63k,$0.00 Per Day,$617.94k,$6.87k Per Day,(0%),(79.16%),(20.84%),$1.32m,$0.00 Per Day,$1.09m,$6.06k Per Day,(0%),(82.55%),(17.45%)
CCSales,RETAILER,09/19/2023,$6.23k,$0.00 Per Day,$6.23k,$6.23k Per Day,(0%),(100%),(0%),$44.93k,$0.00 Per Day,$44.93k,$6.42k Per Day,(0%),(100%),(0%),$231.53k,$0.00 Per Day,$231.53k,$7.72k Per Day,(0%),(100%),(0%),$688.74k,$0.00 Per Day,$638.17k,$7.09k Per Day,(0%),(92.66%),(7.34%),$1.01m,$0.70 Per Day,$906.79k,$5.04k Per Day,(0.01%),(89.49%),(10.49%)
FurniChic Haven,BRAND,11/29/2023,$2.53k,$0.00 Per Day,$2.53k,$2.53k Per Day,(0%),(100%),(0%),$16.87k,$0.00 Per Day,$16.77k,$2.40k Per Day,(0%),(99.41%),(0.59%),$220.16k,$23.78 Per Day,$205.34k,$6.84k Per Day,(0.32%),(93.27%),(6.41%),$706.03k,$10.10 Per Day,$597.95k,$6.64k Per Day,(0.13%),(84.69%),(15.18%),$1.40m,$8.48 Per Day,$1.25m,$6.96k Per Day,(0.11%),(89.22%),(10.67%)
Ballers Bank TCG,RETAILER,10/26/2023,$1.62k,$1.62k Per Day,$0.00,$0.00 Per Day,(100%),(0%),(0%),$60.28k,$3.39k Per Day,$0.00,$0.00 Per Day,(39.42%),(0%),(60.58%),$229.88k,$4.01k Per Day,$1.01k,$33.74 Per Day,(52.31%),(0.44%),(47.25%),$907.76k,$5.74k Per Day,$10.71k,$118.97 Per Day,(56.92%),(1.18%),(41.9%),$1.81m,$5.77k Per Day,$10.71k,$59.48 Per Day,(57.46%),(0.59%),(41.95%)
Usv Electronics,RETAILER,05/07/2024,$5.27k,$60.94 Per Day,$5.21k,$5.21k Per Day,(1.16%),(98.84%),(0%),$38.57k,$30.61 Per Day,$38.32k,$5.47k Per Day,(0.56%),(99.36%),(0.08%),$225.37k,$43.54 Per Day,$223.66k,$7.46k Per Day,(0.58%),(99.24%),(0.18%),$444.67k,$15.24 Per Day,$440.53k,$4.89k Per Day,(0.31%),(99.07%),(0.62%),$450.53k,$11.24 Per Day,$444.99k,$3.65k Per Day,(0.3%),(98.77%),(0.93%)
Rhino USA,BRAND,10/06/2023,$10.42k,$74.90 Per Day,$9.14k,$9.14k Per Day,(0.72%),(87.78%),(11.51%),$115.96k,$82.39 Per Day,$99.85k,$14.26k Per Day,(0.5%),(86.11%),(13.4%),$228.76k,$92.62 Per Day,$202.73k,$6.76k Per Day,(1.21%),(88.62%),(10.16%),$804.47k,$30.87 Per Day,$662.33k,$7.36k Per Day,(0.35%),(82.33%),(17.32%),$1.88m,$21.66 Per Day,$1.69m,$9.39k Per Day,(0.21%),(89.66%),(10.13%)
Babe Original,RETAILER,10/14/2023,$2.76k,$0.00 Per Day,$2.72k,$2.72k Per Day,(0%),(98.23%),(1.77%),$41.96k,$0.00 Per Day,$40.54k,$5.79k Per Day,(0%),(96.62%),(3.38%),$216.42k,$122.17 Per Day,$205.59k,$6.85k Per Day,(1.69%),(94.99%),(3.31%),$816.56k,$45.08 Per Day,$696.79k,$7.74k Per Day,(0.5%),(85.33%),(14.17%),$1.82m,$171.11 Per Day,$1.50m,$8.33k Per Day,(1.69%),(82.3%),(16.01%)
JAVN Tools Offical Store,RETAILER,11/17/2023,$2.71k,$0.00 Per Day,$2.60k,$2.60k Per Day,(0%),(95.96%),(4.04%),$21.40k,$0.00 Per Day,$19.79k,$2.83k Per Day,(0%),(92.49%),(7.51%),$204.55k,$0.00 Per Day,$187.53k,$6.25k Per Day,(0%),(91.68%),(8.32%),$1.93m,$0.00 Per Day,$1.48m,$16.50k Per Day,(0%),(76.99%),(23.01%),$3.04m,$0.00 Per Day,$2.39m,$13.29k Per Day,(0%),(78.67%),(21.33%)
TanmingFashion,RETAILER,01/13/2024,$8.60k,$81.18 Per Day,$8.15k,$8.15k Per Day,(0.94%),(94.7%),(4.35%),$52.68k,$510.81 Per Day,$44.93k,$6.42k Per Day,(6.79%),(85.31%),(7.91%),$224.34k,$461.70 Per Day,$199.48k,$6.65k Per Day,(6.17%),(88.92%),(4.91%),$1.10m,$240.35 Per Day,$884.38k,$9.83k Per Day,(1.96%),(80.14%),(17.9%),$1.68m,$120.17 Per Day,$1.30m,$7.23k Per Day,(1.29%),(77.49%),(21.22%)
GTPlayer Shop,BRAND,11/21/2023,$3.72k,$239.98 Per Day,$3.35k,$3.35k Per Day,(6.46%),(90.29%),(3.26%),$32.77k,$312.40 Per Day,$28.77k,$4.11k Per Day,(6.67%),(87.79%),(5.54%),$222.15k,$513.83 Per Day,$194.16k,$6.47k Per Day,(6.94%),(87.4%),(5.66%),$593.26k,$200.93 Per Day,$505.16k,$5.61k Per Day,(3.05%),(85.15%),(11.8%),$1.50m,$129.01 Per Day,$1.19m,$6.60k Per Day,(1.55%),(79.15%),(19.3%)
the pHix,BRAND,07/21/2023,$5.10k,$159.42 Per Day,$4.91k,$4.91k Per Day,(3.13%),(96.28%),(0.6%),$39.07k,$1.96k Per Day,$24.54k,$3.51k Per Day,(35.13%),(62.8%),(2.07%),$217.08k,$2.90k Per Day,$122.88k,$4.10k Per Day,(40.08%),(56.6%),(3.32%),$604.33k,$3.85k Per Day,$196.98k,$2.19k Per Day,(57.33%),(32.59%),(10.08%),$1.16m,$3.66k Per Day,$354.78k,$1.97k Per Day,(56.94%),(30.69%),(12.37%)
LucidBlanks,RETAILER,02/21/2024,$4.71k,$3.32k Per Day,$953.25,$953.25 Per Day,(70.5%),(20.23%),(9.27%),$38.13k,$3.93k Per Day,$6.32k,$902.31 Per Day,(72.2%),(16.57%),(11.23%),$220.79k,$5.74k Per Day,$26.38k,$879.34 Per Day,(78.02%),(11.95%),(10.03%),$368.60k,$2.59k Per Day,$68.07k,$756.31 Per Day,(63.31%),(18.47%),(18.23%),$604.56k,$1.54k Per Day,$143.61k,$797.81 Per Day,(45.82%),(23.75%),(30.43%)
Lover-Beauty LLC,BRAND,08/08/2023,$5.10k,$0.00 Per Day,$4.94k,$4.94k Per Day,(0%),(96.96%),(3.04%),$46.76k,$0.00 Per Day,$45.09k,$6.44k Per Day,(0%),(96.42%),(3.58%),$221.70k,$0.00 Per Day,$205.43k,$6.85k Per Day,(0%),(92.66%),(7.34%),$557.77k,$0.00 Per Day,$456.16k,$5.07k Per Day,(0%),(81.78%),(18.22%),$885.85k,$0.00 Per Day,$706.05k,$3.92k Per Day,(0%),(79.7%),(20.3%)
USBOUTIQUE,RETAILER,12/24/2023,$9.80k,$0.00 Per Day,$9.04k,$9.04k Per Day,(0%),(92.23%),(7.77%),$47.88k,$0.00 Per Day,$43.39k,$6.20k Per Day,(0%),(90.63%),(9.37%),$218.45k,$0.00 Per Day,$198.81k,$6.63k Per Day,(0%),(91.01%),(8.99%),$928.30k,$0.00 Per Day,$810.64k,$9.01k Per Day,(0%),(87.33%),(12.67%),$2.13m,$0.00 Per Day,$1.84m,$10.22k Per Day,(0%),(86.25%),(13.75%)
Salking.,RETAILER,10/25/2023,$4.68k,$0.00 Per Day,$4.68k,$4.68k Per Day,(0%),(100%),(0%),$42.12k,$1.86 Per Day,$42.11k,$6.02k Per Day,(0.03%),(99.97%),(0%),$222.98k,$3.23 Per Day,$222.15k,$7.41k Per Day,(0.04%),(99.63%),(0.33%),$343.79k,$1.57 Per Day,$314.53k,$3.49k Per Day,(0.04%),(91.49%),(8.47%),$360.68k,$0.79 Per Day,$330.54k,$1.84k Per Day,(0.04%),(91.64%),(8.32%)
Glamorous Finds Shop,BRAND,05/16/2024,$3.46k,$55.80 Per Day,$3.40k,$3.40k Per Day,(1.61%),(98.39%),(0%),$84.55k,$64.82 Per Day,$70.00k,$10.00k Per Day,(0.54%),(82.79%),(16.67%),$222.66k,$970.65 Per Day,$179.45k,$5.98k Per Day,(13.08%),(80.59%),(6.33%),$256.77k,$358.41 Per Day,$180.20k,$2.00k Per Day,(12.56%),(70.18%),(17.26%),$261.77k,$285.46 Per Day,$181.35k,$1.60k Per Day,(12.32%),(69.28%),(18.4%)
Addyskincare,RETAILER,07/25/2023,$10.00,$0.00 Per Day,$0.00,$0.00 Per Day,(0%),(0%),(100%),$43.23k,$97.79 Per Day,$38.91k,$5.56k Per Day,(1.58%),(90.01%),(8.41%),$202.30k,$94.41 Per Day,$192.58k,$6.42k Per Day,(1.4%),(95.2%),(3.4%),$636.15k,$123.80 Per Day,$566.04k,$6.29k Per Day,(1.75%),(88.98%),(9.27%),$1.04m,$1.12k Per Day,$776.47k,$4.31k Per Day,(19.22%),(74.31%),(6.47%)
OmieLife,RETAILER,07/27/2023,$4.94k,$71.82 Per Day,$4.78k,$4.78k Per Day,(1.45%),(96.73%),(1.82%),$46.13k,$128.43 Per Day,$44.90k,$6.41k Per Day,(1.95%),(97.34%),(0.71%),$204.05k,$89.12 Per Day,$199.88k,$6.66k Per Day,(1.31%),(97.96%),(0.73%),$307.52k,$84.53 Per Day,$291.69k,$3.24k Per Day,(2.47%),(94.85%),(2.67%),$537.00k,$187.58 Per Day,$487.99k,$2.71k Per Day,(6.29%),(90.87%),(2.84%)
Twinkled T,BRAND,07/25/2023,$4.58k,$0.00 Per Day,$4.30k,$4.30k Per Day,(0%),(94.07%),(5.93%),$36.73k,$0.00 Per Day,$33.43k,$4.78k Per Day,(0%),(91.02%),(8.98%),$208.25k,$0.00 Per Day,$184.31k,$6.14k Per Day,(0%),(88.51%),(11.49%),$403.51k,$0.00 Per Day,$352.20k,$3.91k Per Day,(0%),(87.28%),(12.72%),$640.08k,$0.00 Per Day,$569.08k,$3.16k Per Day,(0%),(88.91%),(11.09%)
Dreo US,BRAND,10/06/2023,$4.57k,$0.00 Per Day,$4.57k,$4.57k Per Day,(0%),(100%),(0%),$41.42k,$0.00 Per Day,$41.14k,$5.88k Per Day,(0%),(99.33%),(0.67%),$213.50k,$0.00 Per Day,$211.71k,$7.06k Per Day,(0%),(99.16%),(0.84%),$1.98m,$0.00 Per Day,$1.81m,$20.06k Per Day,(0%),(91.18%),(8.82%),$2.61m,$0.00 Per Day,$2.39m,$13.29k Per Day,(0%),(91.59%),(8.41%)
Audozava Makeup,RETAILER,08/11/2023,$4.74k,$0.00 Per Day,$2.03k,$2.03k Per Day,(0%),(42.78%),(57.22%),$41.71k,$0.00 Per Day,$13.96k,$1.99k Per Day,(0%),(33.46%),(66.54%),$212.84k,$0.00 Per Day,$76.58k,$2.55k Per Day,(0%),(35.98%),(64.02%),$619.82k,$0.00 Per Day,$210.91k,$2.34k Per Day,(0%),(34.03%),(65.97%),$788.73k,$0.00 Per Day,$266.23k,$1.48k Per Day,(0%),(33.75%),(66.25%)
SmartSoar,RETAILER,04/08/2024,$2.66k,$0.00 Per Day,$2.57k,$2.57k Per Day,(0%),(96.9%),(3.1%),$18.14k,$0.00 Per Day,$17.05k,$2.44k Per Day,(0%),(94.02%),(5.98%),$213.50k,$0.00 Per Day,$198.18k,$6.61k Per Day,(0%),(92.83%),(7.17%),$705.87k,$0.00 Per Day,$572.29k,$6.36k Per Day,(0%),(81.08%),(18.92%),$768.79k,$0.00 Per Day,$586.97k,$3.89k Per Day,(0%),(76.35%),(23.65%)
It Just Works Deodorant,RETAILER,07/21/2023,$8.91k,$1.33k Per Day,$6.74k,$6.74k Per Day,(14.92%),(75.67%),(9.4%),$52.53k,$1.22k Per Day,$37.49k,$5.36k Per Day,(16.29%),(71.38%),(12.34%),$220.48k,$701.91 Per Day,$192.72k,$6.42k Per Day,(9.55%),(87.41%),(3.04%),$452.10k,$721.39 Per Day,$351.62k,$3.91k Per Day,(14.36%),(77.77%),(7.86%),$851.97k,$860.27 Per Day,$652.36k,$3.62k Per Day,(18.18%),(76.57%),(5.25%)
chicme.us,RETAILER,12/27/2023,$5.35k,$295.92 Per Day,$5.01k,$5.01k Per Day,(5.53%),(93.67%),(0.8%),$34.85k,$326.49 Per Day,$31.77k,$4.54k Per Day,(6.56%),(91.17%),(2.27%),$215.20k,$433.55 Per Day,$196.97k,$6.57k Per Day,(6.04%),(91.53%),(2.43%),$817.14k,$196.11 Per Day,$734.10k,$8.16k Per Day,(2.16%),(89.84%),(8%),$1.83m,$98.05 Per Day,$1.69m,$9.41k Per Day,(0.96%),(92.62%),(6.41%)
Hawthaw Women Apparel,RETAILER,08/19/2023,$7.97k,$0.00 Per Day,$7.01k,$7.01k Per Day,(0%),(87.96%),(12.04%),$49.75k,$0.00 Per Day,$43.06k,$6.15k Per Day,(0%),(86.56%),(13.44%),$210.55k,$0.00 Per Day,$176.02k,$5.87k Per Day,(0%),(83.6%),(16.4%),$836.84k,$0.00 Per Day,$672.19k,$7.47k Per Day,(0%),(80.32%),(19.68%),$1.82m,$0.00 Per Day,$1.50m,$8.32k Per Day,(0%),(82.21%),(17.79%)
GSOIAX,RETAILER,02/19/2024,$4.26k,$0.00 Per Day,$4.26k,$4.26k Per Day,(0%),(100%),(0%),$51.52k,$0.00 Per Day,$51.50k,$7.36k Per Day,(0%),(99.96%),(0.04%),$215.34k,$0.00 Per Day,$215.31k,$7.18k Per Day,(0%),(99.99%),(0.01%),$410.95k,$0.00 Per Day,$404.84k,$4.50k Per Day,(0%),(98.51%),(1.49%),$502.79k,$0.00 Per Day,$496.56k,$2.76k Per Day,(0%),(98.76%),(1.24%)
LIRAO UNDERWEAR,RETAILER,03/21/2024,$7.09k,$0.00 Per Day,$6.74k,$6.74k Per Day,(0%),(95.12%),(4.88%),$41.65k,$0.00 Per Day,$38.87k,$5.55k Per Day,(0%),(93.32%),(6.68%),$207.54k,$0.00 Per Day,$195.48k,$6.52k Per Day,(0%),(94.19%),(5.81%),$917.62k,$0.00 Per Day,$872.27k,$9.69k Per Day,(0%),(95.06%),(4.94%),$1.03m,$0.00 Per Day,$943.50k,$5.58k Per Day,(0%),(91.46%),(8.54%)
KWV,RETAILER,09/17/2023,$4.77k,$0.00 Per Day,$4.25k,$4.25k Per Day,(0%),(89.07%),(10.93%),$37.80k,$0.00 Per Day,$30.73k,$4.39k Per Day,(0%),(81.28%),(18.72%),$200.56k,$0.00 Per Day,$128.19k,$4.27k Per Day,(0%),(63.92%),(36.08%),$553.13k,$0.00 Per Day,$317.73k,$3.53k Per Day,(0%),(57.44%),(42.56%),$696.25k,$0.00 Per Day,$375.96k,$2.09k Per Day,(0%),(54%),(46%)
VSHOW HAIR Shop,BRAND,09/18/2023,$5.91k,$0.00 Per Day,$5.84k,$5.84k Per Day,(0%),(98.84%),(1.16%),$38.44k,$0.00 Per Day,$38.37k,$5.48k Per Day,(0%),(99.81%),(0.19%),$208.45k,$0.00 Per Day,$191.29k,$6.38k Per Day,(0%),(91.77%),(8.23%),$575.33k,$0.00 Per Day,$477.99k,$5.31k Per Day,(0%),(83.08%),(16.92%),$863.86k,$0.00 Per Day,$717.75k,$3.99k Per Day,(0%),(83.09%),(16.91%)
