shop_name,shop_type,shop_earliest_date_recorded,shop_soa_revenue_Yesterday,shop_soa_revenue_per_day_Yesterday,shop_affiliate_revenue_Yesterday,shop_affiliate_revenue_per_day_Yesterday,shop_soa_revenue_share_Yesterday,shop_aff_revenue_share_Yesterday,shop_mall_revenue_share_Yesterday,shop_soa_revenue_Last 7 Days,shop_soa_revenue_per_day_Last 7 Days,shop_affiliate_revenue_Last 7 Days,shop_affiliate_revenue_per_day_Last 7 Days,shop_soa_revenue_share_Last 7 Days,shop_aff_revenue_share_Last 7 Days,shop_mall_revenue_share_Last 7 Days,shop_soa_revenue_Last 30 Days,shop_soa_revenue_per_day_Last 30 Days,shop_affiliate_revenue_Last 30 Days,shop_affiliate_revenue_per_day_Last 30 Days,shop_soa_revenue_share_Last 30 Days,shop_aff_revenue_share_Last 30 Days,shop_mall_revenue_share_Last 30 Days,shop_soa_revenue_Last 90 Days,shop_soa_revenue_per_day_Last 90 Days,shop_affiliate_revenue_Last 90 Days,shop_affiliate_revenue_per_day_Last 90 Days,shop_soa_revenue_share_Last 90 Days,shop_aff_revenue_share_Last 90 Days,shop_mall_revenue_share_Last 90 Days,shop_soa_revenue_Last 180 Days,shop_soa_revenue_per_day_Last 180 Days,shop_affiliate_revenue_Last 180 Days,shop_affiliate_revenue_per_day_Last 180 Days,shop_soa_revenue_share_Last 180 Days,shop_aff_revenue_share_Last 180 Days,shop_mall_revenue_share_Last 180 Days
Freckled Poppy,BRAND,07/21/2023,$27.36k,$8.70k Per Day,$13.04k,$13.04k Per Day,(31.78%),(47.67%),(20.54%),$175.70k,$9.31k Per Day,$62.91k,$8.99k Per Day,(37.11%),(35.81%),(27.08%),$1.05m,$9.66k Per Day,$495.64k,$16.52k Per Day,(27.68%),(47.32%),(25%),$3.14m,$9.83k Per Day,$910.87k,$10.12k Per Day,(28.2%),(29.04%),(42.76%),$7.31m,$7.83k Per Day,$2.42m,$13.46k Per Day,(19.26%),(33.11%),(47.62%)
HattyroomDirect,RETAILER,03/01/2024,$31.00k,$0.00 Per Day,$31.00k,$31.00k Per Day,(0%),(100%),(0%),$263.17k,$0.00 Per Day,$260.78k,$37.25k Per Day,(0%),(99.09%),(0.91%),$1.03m,$0.00 Per Day,$1.01m,$33.69k Per Day,(0%),(97.71%),(2.29%),$2.18m,$0.00 Per Day,$2.08m,$23.06k Per Day,(0%),(95.22%),(4.78%),$2.55m,$0.00 Per Day,$2.42m,$13.43k Per Day,(0%),(94.83%),(5.17%)
Meowant,BRAND,11/16/2023,$20.12k,$0.00 Per Day,$20.12k,$20.12k Per Day,(0%),(100%),(0%),$305.79k,$0.00 Per Day,$305.10k,$43.59k Per Day,(0%),(99.77%),(0.23%),$1.03m,$0.00 Per Day,$1.03m,$34.22k Per Day,(0%),(99.38%),(0.62%),$2.10m,$0.00 Per Day,$1.94m,$21.56k Per Day,(0%),(92.51%),(7.49%),$2.84m,$0.00 Per Day,$2.61m,$14.48k Per Day,(0%),(91.65%),(8.35%)
Homeika,BRAND,10/11/2023,$26.52k,$519.90 Per Day,$26.00k,$26.00k Per Day,(1.96%),(98.04%),(0%),$216.05k,$507.06 Per Day,$202.60k,$28.94k Per Day,(1.64%),(93.78%),(4.58%),$1.02m,$529.98 Per Day,$987.89k,$32.93k Per Day,(1.55%),(96.59%),(1.85%),$5.64m,$803.32 Per Day,$4.59m,$51.03k Per Day,(1.28%),(81.43%),(17.29%),$9.20m,$401.66 Per Day,$8.09m,$44.94k Per Day,(0.79%),(87.97%),(11.24%)
Raybee Furniture,BRAND,09/18/2023,$28.69k,$2.60k Per Day,$25.36k,$25.36k Per Day,(9.06%),(88.37%),(2.57%),$186.19k,$2.64k Per Day,$149.70k,$21.39k Per Day,(9.94%),(80.4%),(9.66%),$1.02m,$2.86k Per Day,$829.64k,$27.65k Per Day,(8.45%),(81.58%),(9.97%),$4.09m,$1.28k Per Day,$3.07m,$34.11k Per Day,(2.83%),(75.04%),(22.13%),$6.24m,$642.02 Per Day,$4.42m,$24.57k Per Day,(1.85%),(70.89%),(27.26%)
SODAY,RETAILER,12/20/2023,$17.19k,$7.35k Per Day,$9.57k,$9.57k Per Day,(42.75%),(55.68%),(1.57%),$183.22k,$11.70k Per Day,$97.64k,$13.95k Per Day,(44.69%),(53.29%),(2.02%),$1.01m,$12.44k Per Day,$628.08k,$20.94k Per Day,(36.79%),(61.91%),(1.3%),$2.13m,$4.36k Per Day,$1.69m,$18.78k Per Day,(18.38%),(79.16%),(2.46%),$4.16m,$2.18k Per Day,$3.68m,$20.43k Per Day,(9.44%),(88.46%),(2.11%)
Triquetra,RETAILER,11/05/2023,$29.02k,$427.57 Per Day,$27.36k,$27.36k Per Day,(1.47%),(94.28%),(4.25%),$205.87k,$329.47 Per Day,$192.10k,$27.44k Per Day,(1.12%),(93.31%),(5.57%),$976.65k,$384.82 Per Day,$869.21k,$28.97k Per Day,(1.18%),(89%),(9.82%),$2.38m,$288.77 Per Day,$2.06m,$22.87k Per Day,(1.09%),(86.52%),(12.38%),$3.48m,$210.94 Per Day,$2.94m,$16.34k Per Day,(1.09%),(84.52%),(14.39%)
Etekcity,BRAND,12/12/2023,$14.26k,$0.00 Per Day,$14.26k,$14.26k Per Day,(0%),(100%),(0%),$184.21k,$0.00 Per Day,$184.21k,$26.32k Per Day,(0%),(100%),(0%),$965.37k,$3.00 Per Day,$961.25k,$32.04k Per Day,(0.01%),(99.57%),(0.42%),$4.09m,$15.00 Per Day,$3.96m,$44.00k Per Day,(0.03%),(96.93%),(3.04%),$7.17m,$12.96 Per Day,$7.00m,$38.89k Per Day,(0.03%),(97.62%),(2.35%)
XJOSE,RETAILER,09/17/2023,$41.73k,$0.00 Per Day,$41.70k,$41.70k Per Day,(0%),(99.93%),(0.07%),$366.65k,$0.00 Per Day,$365.89k,$52.27k Per Day,(0%),(99.8%),(0.2%),$957.81k,$0.25 Per Day,$954.05k,$31.80k Per Day,(0%),(99.61%),(0.39%),$2.64m,$0.08 Per Day,$2.51m,$27.85k Per Day,(0%),(94.98%),(5.02%),$4.62m,$0.04 Per Day,$4.45m,$24.72k Per Day,(0%),(96.33%),(3.67%)
SUSTEAS,BRAND,08/03/2023,$16.63k,$551.84 Per Day,$16.04k,$16.04k Per Day,(3.32%),(96.44%),(0.24%),$140.92k,$440.87 Per Day,$136.86k,$19.55k Per Day,(2.19%),(97.12%),(0.69%),$952.49k,$190.97 Per Day,$944.16k,$31.47k Per Day,(0.6%),(99.12%),(0.27%),$2.55m,$63.66 Per Day,$2.50m,$27.77k Per Day,(0.22%),(98.02%),(1.76%),$3.44m,$31.83 Per Day,$3.24m,$17.98k Per Day,(0.17%),(94.15%),(5.68%)
