video_title,video_tags,video_music_info,video_publish_date,video_duration,video_advertising_information,video_earliest_date_recorded,video_views_yesterday,video_views_per_day_yesterday,item_sold_yesterday,item_sold_per_day_yesterday,video_revenue_yesterday,video_revenue_per_day_yesterday,video_new_followers_yesterday,video_new_followers_per_day_yesterday,video_ad_view_ratio_yesterday,video_ad_revenue_ratio_yesterday,video_ad_spend_yesterday,video_ad_roas_yesterday,video_views_last_7_days,video_views_per_day_last_7_days,item_sold_last_7_days,item_sold_per_day_last_7_days,video_revenue_last_7_days,video_revenue_per_day_last_7_days,video_new_followers_last_7_days,video_new_followers_per_day_last_7_days,video_ad_view_ratio_last_7_days,video_ad_revenue_ratio_last_7_days,video_ad_spend_last_7_days,video_ad_roas_last_7_days,video_views_last_30_days,video_views_per_day_last_30_days,item_sold_last_30_days,item_sold_per_day_last_30_days,video_revenue_last_30_days,video_revenue_per_day_last_30_days,video_new_followers_last_30_days,video_new_followers_per_day_last_30_days,video_ad_view_ratio_last_30_days,video_ad_revenue_ratio_last_30_days,video_ad_spend_last_30_days,video_ad_roas_last_30_days,video_views_last_90_days,video_views_per_day_last_90_days,item_sold_last_90_days,item_sold_per_day_last_90_days,video_revenue_last_90_days,video_revenue_per_day_last_90_days,video_new_followers_last_90_days,video_new_followers_per_day_last_90_days,video_ad_view_ratio_last_90_days,video_ad_revenue_ratio_last_90_days,video_ad_spend_last_90_days,video_ad_roas_last_90_days,video_views_last_180_days,video_views_per_day_last_180_days,item_sold_last_180_days,item_sold_per_day_last_180_days,video_revenue_last_180_days,video_revenue_per_day_last_180_days,video_new_followers_last_180_days,video_new_followers_per_day_last_180_days,video_ad_view_ratio_last_180_days,video_ad_revenue_ratio_last_180_days,video_ad_spend_last_180_days,video_ad_roas_last_180_days
Una súper recomendación,#carritonaranja #collagenhair #collagenhairmask #flypシ #lomejor #parati #recomendation #tiktokshop #viral,original sound - Dianelis Velázquez,"Jul 2, 2024",2m 22s,46 Days (2024-07-11 - 2024-09-03),07/02/2024,5.18k,5.18k Per Day,19,19 Per Day,$360.62,$360.62 Per Day,30,30 Per Day,0%,0%,$0.00,0,88.45k,12.64k Per Day,179,25.57 Per Day,$3.40k,$485.35 Per Day,587,83.86 Per Day,>90%,89.39%,$976.95,3.11,703.03k,23.43k Per Day,3.04k,101.27 Per Day,$57.74k,$1.92k Per Day,3.69k,122.83 Per Day,>90%,>90%,$8.05k,7.05,1.91m,21.28k Per Day,7.76k,86.18 Per Day,$147.00k,$1.63k Per Day,5.93k,65.89 Per Day,>90%,>90%,$26.11k,5.46,1.91m,10.64k Per Day,7.76k,43.09 Per Day,$147.00k,$816.65 Per Day,5.93k,32.94 Per Day,>90%,>90%,$26.11k,5.46
Boom boom nasal sticks have helped me so much my allergies. Made with all natural ingrediants and seriously a game changer!,#allergies #congestion #sharktank #tiktokdeals #tiktokfinds #tiktokshop,Occult/Mystery/Horror Suspense(844669),"Aug 8, 2024",1m 15s,25 Days (2024-08-09 - 2024-09-03),08/08/2024,14.56k,14.56k Per Day,21,21 Per Day,$397.95,$397.95 Per Day,0,0 Per Day,0%,0%,$0.00,0,234.16k,33.45k Per Day,362,51.71 Per Day,$7.05k,$1.01k Per Day,656,93.71 Per Day,>90%,>90%,$3.25k,2.04,2.18m,72.63k Per Day,3.02k,100.6 Per Day,$57.73k,$1.92k Per Day,2.62k,87.4 Per Day,>90%,>90%,$39.52k,1.44,2.18m,24.21k Per Day,3.02k,33.53 Per Day,$57.73k,$641.48 Per Day,2.62k,29.13 Per Day,>90%,>90%,$39.52k,1.44,2.18m,12.11k Per Day,3.02k,16.77 Per Day,$57.73k,$320.74 Per Day,2.62k,14.57 Per Day,>90%,>90%,$39.52k,1.44
Run don’t walk!!!! 🏃‍♀️ @tarte cosmetics,#fyp #makeupsale #makeuptutorial #tarte #tartecosmetics #tiktokmademebuyit #viral,original sound - Kelsey’s Faves ✨,"Mar 15, 2024",40s,2 Days (2024-04-07 - 2024-05-20),05/23/2024,665,665 Per Day,4,4 Per Day,$156.00,$156.00 Per Day,11,11 Per Day,0%,0%,$0.00,0,5.78k,825.14 Per Day,22,3.14 Per Day,$789.36,$112.77 Per Day,110,15.71 Per Day,0%,0%,$0.00,0,352.13k,11.74k Per Day,1.88k,62.73 Per Day,$57.40k,$1.91k Per Day,829,27.63 Per Day,0%,0%,$0.00,0,803.51k,8.93k Per Day,4.09k,45.44 Per Day,$116.81k,$1.30k Per Day,3.3k,36.67 Per Day,0%,0%,$0.00,0,4.07m,22.63k Per Day,8.53k,47.4 Per Day,$276.36k,$1.54k Per Day,8.65k,48.06 Per Day,39.76%,7.33%,$27.97k,0.72
"I really couldn’t believe this. This Tolife air purifier is so quiet too, especially for how big it is! Purifies 1095 sq ft & has a UVA mode. Grab this deal if you need a purifier! I got another one for my Dad as a gift 🤍 @FENUN SHOP",#air #airpurifier #dealsforyoudays #dust #flashsale #homehealth #tolife,original sound - lexi ✨,"Jul 8, 2024",29s,25 Days (2024-08-01 - 2024-09-04),07/08/2024,4.68k,4.68k Per Day,9,9 Per Day,$793.80,$793.80 Per Day,22,22 Per Day,>90%,>90%,$108.64,7.31,29.24k,4.18k Per Day,43,6.14 Per Day,$3.79k,$541.80 Per Day,132,18.86 Per Day,80.29%,83.72%,$506.28,6.27,715.38k,23.85k Per Day,875,29.17 Per Day,$57.40k,$1.91k Per Day,1.54k,51.33 Per Day,>90%,>90%,$15.57k,3.58,799.87k,8.89k Per Day,980,10.89 Per Day,$63.55k,$706.16 Per Day,2.56k,28.43 Per Day,>90%,>90%,$16.38k,3.65,799.87k,4.44k Per Day,980,5.44 Per Day,$63.55k,$353.08 Per Day,2.56k,14.22 Per Day,>90%,>90%,$16.38k,3.65
I’m not gone let it just sit there 😅,#fypp #viral,Count Up Gunna,"Jul 24, 2024",15s,No record of Advertising placement was found,07/24/2024,18.63k,18.63k Per Day,4,4 Per Day,$279.92,$279.92 Per Day,157,157 Per Day,0%,0%,$0.00,0,99.84k,14.26k Per Day,22,3.14 Per Day,$1.60k,$227.94 Per Day,671,95.86 Per Day,0%,0%,$0.00,0,2.19m,72.95k Per Day,778,25.93 Per Day,$57.24k,$1.91k Per Day,3.29k,109.7 Per Day,0%,0%,$0.00,0,2.91m,32.33k Per Day,959,10.66 Per Day,$68.83k,$764.79 Per Day,3.57k,39.7 Per Day,0%,0%,$0.00,0,2.91m,16.17k Per Day,959,5.33 Per Day,$68.83k,$382.40 Per Day,3.57k,19.85 Per Day,0%,0%,$0.00,0
"Cutest things EVER! If they’re still in stock, run!!!",#accessories #birthdaygifts #bunnykeychain #bunnylulu #bunnyplushies #christmasgifts #eastergifts #fallfinds #fyp #giftideas #giftsforkids #girlythings #handmade #handmadegifts #keychain #rundontwalk #stockingstuffers #thoughtfulgifts #tiktokmademebuyit #tiktokshop #viralfinds,original sound - workingmama40,"Aug 26, 2024",47s,9 Days (2024-08-27 - 2024-09-04),08/26/2024,262.21k,262.21k Per Day,473,473 Per Day,$8.03k,$8.03k Per Day,230,230 Per Day,>90%,>90%,$5.91k,1.36,2m,286.37k Per Day,3.31k,472.43 Per Day,$56.31k,$8.04k Per Day,2.26k,323.43 Per Day,>90%,>90%,$37.31k,1.51,2.04m,68.09k Per Day,3.36k,112.03 Per Day,$57.21k,$1.91k Per Day,2.89k,96.3 Per Day,>90%,>90%,$37.96k,1.51,2.04m,22.7k Per Day,3.36k,37.34 Per Day,$57.21k,$635.71 Per Day,2.89k,32.1 Per Day,>90%,>90%,$37.96k,1.51,2.04m,11.35k Per Day,3.36k,18.67 Per Day,$57.21k,$317.85 Per Day,2.89k,16.05 Per Day,>90%,>90%,$37.96k,1.51
BRB adding cleaning my oven to my list of current hobbies,#cleaningproducts #cleantok #steamcleaner #tiktokshop #tiktokshopdeals #tiktokshopproducts #viral #viralproduct #viraltiktokproducts,original sound - Kate Beck,"Jul 2, 2024",15s,24 Days (2024-07-28 - 2024-09-01),07/27/2024,9.61k,9.61k Per Day,26,26 Per Day,$888.94,$888.94 Per Day,14,14 Per Day,0%,0%,$0.00,0,80.45k,11.49k Per Day,200,28.57 Per Day,$6.84k,$976.86 Per Day,123,17.57 Per Day,39.39%,42.00%,$1.36k,2.12,875.48k,29.18k Per Day,1.64k,54.67 Per Day,$57.09k,$1.90k Per Day,829,27.63 Per Day,87.87%,89.50%,$22.90k,2.23,1.15m,12.73k Per Day,1.88k,20.83 Per Day,$65.80k,$731.09 Per Day,971,10.79 Per Day,>90%,>90%,$31.85k,1.88,1.15m,6.37k Per Day,1.88k,10.42 Per Day,$65.80k,$365.54 Per Day,971,5.39 Per Day,>90%,>90%,$31.85k,1.88
V8 Apex is back!,#airduster #airpump #cars #carvacuum #cleantok #dealsforyoudays #fanttik #vacuum #vacuumcleaner,original sound - Fanttik,"Jul 9, 2024",29s,35 Days (2024-07-18 - 2024-09-04),07/10/2024,7.59k,7.59k Per Day,4,4 Per Day,$223.96,$223.96 Per Day,108,108 Per Day,>90%,>90%,$134.39,1.67,56.67k,8.1k Per Day,29,4.14 Per Day,$1.62k,$231.96 Per Day,815,116.43 Per Day,>90%,>90%,$1.55k,1.01,1.56m,51.96k Per Day,1.03k,34.3 Per Day,$56.96k,$1.90k Per Day,2.94k,98.03 Per Day,>90%,>90%,$38.53k,1.47,1.92m,21.37k Per Day,1.32k,14.71 Per Day,$73.48k,$816.43 Per Day,4.31k,47.93 Per Day,>90%,>90%,$46.01k,1.57,1.92m,10.68k Per Day,1.32k,7.36 Per Day,$73.48k,$408.21 Per Day,4.31k,23.97 Per Day,>90%,>90%,$46.01k,1.57
my favorite hair tool,#tymo #tymobeauty,original sound - Isabella Richardson,"Jul 10, 2024",17s,46 Days (2024-07-10 - 2024-09-03),07/10/2024,1.07m,35.71k Per Day,1.41k,46.83 Per Day,$56.95k,$1.90k Per Day,1.74k,58.07 Per Day,>90%,>90%,$20.72k,2.75,249k,35.57k Per Day,256,36.57 Per Day,$10.75k,$1.54k Per Day,172,24.57 Per Day,>90%,>90%,$5.46k,1.97,1.07m,35.71k Per Day,1.41k,46.83 Per Day,$56.95k,$1.90k Per Day,1.74k,58.07 Per Day,>90%,>90%,$20.72k,2.75,1.43m,15.9k Per Day,1.71k,19.01 Per Day,$66.89k,$743.25 Per Day,2.94k,32.68 Per Day,>90%,>90%,$26.04k,2.57,1.43m,7.95k Per Day,1.71k,9.51 Per Day,$66.89k,$371.62 Per Day,2.94k,16.34 Per Day,>90%,>90%,$26.04k,2.57
Immediately yes,#fyp #perfumetiktok #yaracandy,original sound - Zaza🩷♉️,"Aug 11, 2024",2m 42s,14 Days (2024-08-18 - 2024-09-04),08/11/2024,143.39k,143.39k Per Day,82,82 Per Day,$4.06k,$4.06k Per Day,435,435 Per Day,>90%,>90%,$5.44k,0.75,1.23m,176.19k Per Day,440,62.86 Per Day,$21.78k,$3.11k Per Day,5.55k,792.86 Per Day,>90%,>90%,$46.83k,0.47,2.23m,74.5k Per Day,1.15k,38.33 Per Day,$56.92k,$1.90k Per Day,33.37k,1.11k Per Day,>90%,>90%,$84.72k,0.67,2.23m,24.83k Per Day,1.15k,12.78 Per Day,$56.92k,$632.50 Per Day,33.37k,370.81 Per Day,>90%,>90%,$84.72k,0.67,2.23m,12.42k Per Day,1.15k,6.39 Per Day,$56.92k,$316.25 Per Day,33.37k,185.41 Per Day,>90%,>90%,$84.72k,0.67
,#dog #dogmom #dogs #dogsoftiktok #floia #goldenretrieverlife #goldenretrieverpuppy #groom #groomer #petgrooming #puppy,original sound - Golden retreiver Mom,"Mar 9, 2024",2m 14s,108 Days (2024-03-30 - 2024-09-04),05/23/2024,2.19k,2.19k Per Day,24,24 Per Day,$1.68k,$1.68k Per Day,0,0 Per Day,>90%,>90%,$83.98,20,27.44k,3.92k Per Day,364,52 Per Day,$24.59k,$3.51k Per Day,3,0.43 Per Day,>90%,>90%,$5.70k,4.32,217.45k,7.25k Per Day,948,31.6 Per Day,$56.89k,$1.90k Per Day,9,0.3 Per Day,>90%,>90%,$18.41k,3.09,357.03k,3.97k Per Day,1.42k,15.81 Per Day,$82.21k,$913.47 Per Day,63,0.7 Per Day,>90%,>90%,$27.55k,2.92,495.42k,2.75k Per Day,2.1k,11.66 Per Day,$123.56k,$686.43 Per Day,292,1.62 Per Day,>90%,>90%,$33.65k,3.59
HAS ANYONE READ THIS BOOK?!,#blinddatewithabook #bookish #booktok #read #romance #romancebooks,original sound - emiley_bakerugc,"Jun 18, 2024",1m 21s,13 Days (2024-08-23 - 2024-09-04),06/17/2024,26.25k,26.25k Per Day,54,54 Per Day,$1.60k,$1.60k Per Day,26,26 Per Day,>90%,>90%,$1.32k,1.21,384.78k,54.97k Per Day,546,78 Per Day,$16.07k,$2.30k Per Day,418,59.71 Per Day,>90%,>90%,$19.38k,0.83,1.57m,52.45k Per Day,1.9k,63.3 Per Day,$56.67k,$1.89k Per Day,1.92k,63.97 Per Day,41.56%,39.95%,$32.93k,0.69,11.04m,122.67k Per Day,4.28k,47.54 Per Day,$118.31k,$1.31k Per Day,7.86k,87.32 Per Day,5.92%,19.14%,$32.93k,0.69,11.04m,61.33k Per Day,4.28k,23.77 Per Day,$118.31k,$657.26 Per Day,7.86k,43.66 Per Day,5.92%,19.14%,$32.93k,0.69
,#tiktokshopbacktoschool,original sound - Mallory ◡̈,"Aug 8, 2024",35s,1 Days (2024-08-17 - 2024-08-17),08/08/2024,62.47k,62.47k Per Day,25,25 Per Day,$1.75k,$1.75k Per Day,44,44 Per Day,0%,0%,$0.00,0,448.97k,64.14k Per Day,72,10.29 Per Day,$5.07k,$724.46 Per Day,284,40.57 Per Day,0%,0%,$0.00,0,3.11m,103.65k Per Day,810,27 Per Day,$56.61k,$1.89k Per Day,2.3k,76.8 Per Day,51.34%,28.40%,$32.63k,0.49,3.11m,34.55k Per Day,810,9 Per Day,$56.61k,$629.00 Per Day,2.3k,25.6 Per Day,51.34%,28.40%,$32.63k,0.49,3.11m,17.27k Per Day,810,4.5 Per Day,$56.61k,$314.50 Per Day,2.3k,12.8 Per Day,51.34%,28.40%,$32.63k,0.49
"Secretly putting on the shapewear, my figure will amaze everyone.🤩#ap",#ad1 #ap #badgirl #confident #dodogogo #fyp #fypシ゚viral #girls #sexy #shapewear #tiktok #tummycontrol,Nasty,"Jul 16, 2024",27s,12 Days (2024-08-20 - 2024-09-04),08/19/2024,43.69k,43.69k Per Day,65,65 Per Day,$1.95k,$1.95k Per Day,90,90 Per Day,>90%,>90%,$1.15k,1.69,372.03k,53.15k Per Day,691,98.71 Per Day,$22.22k,$3.17k Per Day,696,99.43 Per Day,>90%,88.66%,$11.56k,1.7,1.16m,38.56k Per Day,1.86k,62.1 Per Day,$56.50k,$1.88k Per Day,1.67k,55.73 Per Day,>90%,>90%,$35.52k,1.52,1.16m,12.85k Per Day,1.86k,20.7 Per Day,$56.50k,$627.80 Per Day,1.67k,18.58 Per Day,>90%,>90%,$35.52k,1.52,1.16m,6.43k Per Day,1.86k,10.35 Per Day,$56.50k,$313.90 Per Day,1.67k,9.29 Per Day,>90%,>90%,$35.52k,1.52
Car Sticker Ideas Card Trick Tutorials Green Screen Sticker stickers debit card skin credit card sticker,#creditcardsticker #customcreditcards #fypシ゚viral #viral,original sound - Rare t-shirt co,"Aug 12, 2024",50s,No record of Advertising placement was found,08/12/2024,925.07k,925.07k Per Day,311,311 Per Day,$2.13k,$2.13k Per Day,519,519 Per Day,0%,0%,$0.00,0,8.01m,1.14m Per Day,2.19k,312.71 Per Day,$14.16k,$2.02k Per Day,4.23k,604.57 Per Day,0%,0%,$0.00,0,28.1m,936.8k Per Day,9.6k,320.1 Per Day,$56.48k,$1.88k Per Day,18.07k,602.2 Per Day,0%,0%,$0.00,0,28.1m,312.27k Per Day,9.6k,106.7 Per Day,$56.48k,$627.56 Per Day,18.07k,200.73 Per Day,0%,0%,$0.00,0,28.1m,156.13k Per Day,9.6k,53.35 Per Day,$56.48k,$313.78 Per Day,18.07k,100.37 Per Day,0%,0%,$0.00,0
Im just warning you... It's like magic 👀,#carcleaning #carhacks #cleaninghacks #creatorsearchinsights #dealsforyoudays #homecleaning #homehacks #howto #lifehack #lifehavk #momhack #steamcleaner #steamcleaning #tiktokshop #tiktokshopbacktoschool #viral,original sound - Madison Marsingill | Mama of 3,"Aug 6, 2024",35s,22 Days (2024-08-07 - 2024-09-03),08/06/2024,8.16k,8.16k Per Day,23,23 Per Day,$786.37,$786.37 Per Day,0,0 Per Day,0%,0%,$0.00,0,143.69k,20.53k Per Day,315,45 Per Day,$10.77k,$1.54k Per Day,249,35.57 Per Day,>90%,>90%,$4.02k,2.48,753.18k,25.11k Per Day,1.65k,54.87 Per Day,$56.35k,$1.88k Per Day,822,27.4 Per Day,>90%,>90%,$25.56k,2.14,753.18k,8.37k Per Day,1.65k,18.29 Per Day,$56.35k,$626.10 Per Day,822,9.13 Per Day,>90%,>90%,$25.56k,2.14,753.18k,4.18k Per Day,1.65k,9.14 Per Day,$56.35k,$313.05 Per Day,822,4.57 Per Day,>90%,>90%,$25.56k,2.14
,N/A,"Aug 2, 2024",N/A,N/A,N/A,08/03/2024,12.3k,12.3k Per Day,16,16 Per Day,$389.76,$389.76 Per Day,14,14 Per Day,0%,0%,$0.00,0,146.64k,20.95k Per Day,147,21 Per Day,$3.64k,$519.38 Per Day,173,24.71 Per Day,0%,0%,$0.00,0,1.93m,64.27k Per Day,2.1k,70.03 Per Day,$56.32k,$1.88k Per Day,1.73k,57.6 Per Day,75.71%,77.44%,$22.94k,1.9,2.32m,25.77k Per Day,2.43k,27.04 Per Day,$65.62k,$729.14 Per Day,1.87k,20.74 Per Day,79.50%,80.27%,$28.93k,1.82,2.32m,12.89k Per Day,2.43k,13.52 Per Day,$65.62k,$364.57 Per Day,1.87k,10.37 Per Day,79.50%,80.27%,$28.93k,1.82
THE Perfect Mother’s Day gift!!,#massager #massagetherapy #mothersday #mothersdaygift #mothersdaygiftideas #mothersdaysale #mothersdayspecial #shouldermassage,original sound - shopitordropitmama,"Apr 30, 2024",54s,7 Days (2024-06-06 - 2024-09-02),05/23/2024,96.72k,96.72k Per Day,112,112 Per Day,$3.36k,$3.36k Per Day,58,58 Per Day,0%,0%,$0.00,0,905.83k,129.4k Per Day,1.05k,150.29 Per Day,$33.57k,$4.80k Per Day,827,118.14 Per Day,49.34%,57.16%,$5.72k,3.35,1.55m,51.59k Per Day,1.74k,58 Per Day,$56.00k,$1.87k Per Day,5.45k,181.8 Per Day,28.88%,34.26%,$5.72k,3.35,4.75m,52.75k Per Day,4.85k,53.87 Per Day,$158.21k,$1.76k Per Day,27.84k,309.36 Per Day,40.03%,19.74%,$41.52k,0.75,11.29m,62.71k Per Day,15.37k,85.37 Per Day,$481.65k,$2.68k Per Day,33.34k,185.24 Per Day,19.42%,8.22%,$45.79k,0.86
UNREAL 🤌🏼 I wish you could see inside of this foot massager 😭,#tiktokshopmothersday,original sound - itsmadiescott,"May 2, 2024",29s,54 Days (2024-05-21 - 2024-09-04),05/02/2024,166.98k,166.98k Per Day,45,45 Per Day,$2.47k,$2.47k Per Day,60,60 Per Day,>90%,>90%,$1.90k,1.3,1.75m,250.68k Per Day,564,80.57 Per Day,$31.59k,$4.51k Per Day,215,30.71 Per Day,>90%,>90%,$22.51k,1.4,3.06m,101.98k Per Day,984,32.8 Per Day,$55.91k,$1.86k Per Day,412,13.73 Per Day,>90%,>90%,$42.57k,1.3,6.03m,66.99k Per Day,2.38k,26.4 Per Day,$124.71k,$1.39k Per Day,3.92k,43.6 Per Day,>90%,>90%,$116.40k,1.03,28.21m,156.7k Per Day,10.94k,60.78 Per Day,$563.99k,$3.13k Per Day,11.05k,61.37 Per Day,25.04%,27.01%,$144.18k,1.06
Sensual seduction & crazy in love are my favs 😍😍,#dlacosmetics #pheromoneperfume #pheromonereview #pheromones #shoppingaddict,original sound - kachi1k,"Oct 21, 2023",19s,8 Days (2024-06-20 - 2024-07-01),01/13/2024,42.87k,42.87k Per Day,97,97 Per Day,$1.55k,$1.55k Per Day,18,18 Per Day,0%,0%,$0.00,0,249.5k,35.64k Per Day,918,131.14 Per Day,$13.79k,$1.97k Per Day,76,10.86 Per Day,0%,0%,$0.00,0,742.53k,24.75k Per Day,3.95k,131.6 Per Day,$55.87k,$1.86k Per Day,220,7.33 Per Day,0%,0%,$0.00,0,6.17m,68.55k Per Day,24.11k,267.86 Per Day,$254.77k,$2.83k Per Day,4.09k,45.47 Per Day,45.61%,25.40%,$89.60k,0.72,10.99m,61.07k Per Day,40.46k,224.76 Per Day,$411.67k,$2.29k Per Day,15.68k,87.12 Per Day,25.60%,15.72%,$89.60k,0.72
Should i start a series reviewing my holy grail skincare products? This is Medicube’s collagen night wrapping mask @medicube_official @Medicube Global @medicube_us,#collagen #kbeauty #koreanskincare #niacinamide #skincareroutine #skintiktok #skintok #sleepingmask,original sound - Vivian Yun,"Jul 10, 2024",2m 37s,34 Days (2024-07-24 - 2024-09-02),07/10/2024,16.01k,16.01k Per Day,16,16 Per Day,$304.00,$304.00 Per Day,190,190 Per Day,0%,0%,$0.00,0,461.12k,65.87k Per Day,344,49.14 Per Day,$6.54k,$933.71 Per Day,1.2k,170.86 Per Day,>90%,87.79%,$12.18k,0.47,3.52m,117.26k Per Day,2.82k,93.97 Per Day,$55.74k,$1.86k Per Day,9.41k,313.63 Per Day,>90%,>90%,$89.84k,0.61,11.23m,124.8k Per Day,10.14k,112.63 Per Day,$228.92k,$2.54k Per Day,23.58k,262.02 Per Day,43.00%,41.11%,$116.85k,0.81,11.23m,62.4k Per Day,10.14k,56.32 Per Day,$228.92k,$1.27k Per Day,23.58k,131.01 Per Day,43.00%,41.11%,$116.85k,0.81
The only soap i use for my face and body 🔥 am inlove with this soap#turmericsoap,#kojicsoap #skincaretips #turmericskincare #turmericsoap,MILLION DOLLAR BABY (VHS),"Jun 3, 2024",24s,25 Days (2024-07-02 - 2024-08-27),06/03/2024,49.29k,49.29k Per Day,179,179 Per Day,$1.63k,$1.63k Per Day,19,19 Per Day,0%,0%,$0.00,0,217.06k,31.01k Per Day,1.15k,164.43 Per Day,$10.46k,$1.49k Per Day,159,22.71 Per Day,0%,0%,$0.00,0,1.31m,43.78k Per Day,6.64k,221.2 Per Day,$55.74k,$1.86k Per Day,640,21.33 Per Day,48.44%,43.29%,$10.26k,2.35,3.38m,37.59k Per Day,17.79k,197.68 Per Day,$139.41k,$1.55k Per Day,1.41k,15.7 Per Day,55.43%,46.55%,$37.07k,1.75,3.38m,18.8k Per Day,17.79k,98.84 Per Day,$139.42k,$774.53 Per Day,1.41k,7.86 Per Day,55.43%,46.55%,$37.07k,1.75
Sttes brazilian perfume is a must!!! Grab one!,#brazilian #fyppppppppppppppppppppppp #perfume #tiktokshop #virał,original sound - est__2018,"Aug 19, 2024",1m 51s,16 Days (2024-08-19 - 2024-09-04),08/19/2024,123.71k,123.71k Per Day,77,77 Per Day,$2.23k,$2.23k Per Day,711,711 Per Day,>90%,>90%,$2.84k,0.79,517.74k,73.96k Per Day,443,63.29 Per Day,$12.83k,$1.83k Per Day,5.86k,837.57 Per Day,>90%,>90%,$12.43k,1.03,1.91m,63.78k Per Day,1.92k,63.97 Per Day,$55.62k,$1.85k Per Day,18.83k,627.53 Per Day,>90%,>90%,$44.94k,1.24,1.91m,21.26k Per Day,1.92k,21.32 Per Day,$55.62k,$618.00 Per Day,18.83k,209.18 Per Day,>90%,>90%,$44.94k,1.24,1.91m,10.63k Per Day,1.92k,10.66 Per Day,$55.62k,$309.00 Per Day,18.83k,104.59 Per Day,>90%,>90%,$44.94k,1.24
And i thought my house was clean😱,#airpurifier #fyp #fypシ #tiktokshop,original sound - blackoriginco,"Apr 13, 2024",35s,16 Days (2024-05-25 - 2024-08-18),04/13/2024,8.96k,8.96k Per Day,12,12 Per Day,$204.12,$204.12 Per Day,6,6 Per Day,0%,0%,$0.00,0,34.43k,4.92k Per Day,53,7.57 Per Day,$1.17k,$167.01 Per Day,88,12.57 Per Day,0%,0%,$0.00,0,1.3m,43.28k Per Day,2.31k,76.93 Per Day,$55.50k,$1.85k Per Day,928,30.93 Per Day,37.81%,34.68%,$11.37k,1.69,4.3m,47.78k Per Day,4.3k,47.74 Per Day,$100.72k,$1.12k Per Day,3.57k,39.64 Per Day,45.32%,29.89%,$44.15k,0.68,6.07m,33.74k Per Day,5.52k,30.67 Per Day,$126.71k,$703.95 Per Day,6.17k,34.28 Per Day,47.87%,32.55%,$65.09k,0.63
The kind if sour uou feel in the back of your jaw,#blueraspberry #fyp #gushers #mamav #sour,original sound - Jessika Gancedo,"Jul 24, 2024",2m 40s,No record of Advertising placement was found,07/24/2024,43.62k,43.62k Per Day,50,50 Per Day,$1.20k,$1.20k Per Day,825,825 Per Day,0%,0%,$0.00,0,497.29k,71.04k Per Day,423,60.43 Per Day,$10.69k,$1.53k Per Day,2.98k,425 Per Day,0%,0%,$0.00,0,3.16m,105.2k Per Day,2.61k,87.07 Per Day,$55.37k,$1.85k Per Day,18.2k,606.53 Per Day,0%,0%,$0.00,0,4.26m,47.38k Per Day,3.67k,40.8 Per Day,$76.68k,$852.03 Per Day,23.42k,260.23 Per Day,0%,0%,$0.00,0,4.26m,23.69k Per Day,3.67k,20.4 Per Day,$76.68k,$426.02 Per Day,23.42k,130.12 Per Day,0%,0%,$0.00,0
Para una cara de seda luminosa 🥰 Me encanta!!,#glow #serum,original sound - Maria Marin,"Jul 31, 2024",18s,11 Days (2024-08-12 - 2024-08-25),07/31/2024,274.38k,9.15k Per Day,603,20.1 Per Day,$55.34k,$1.84k Per Day,18.78k,625.97 Per Day,72.94%,69.56%,$2.55k,15.12,3.55k,506.57 Per Day,2,0.29 Per Day,$359.73,$51.39 Per Day,864,123.43 Per Day,0%,0%,$0.00,0,274.38k,9.15k Per Day,603,20.1 Per Day,$55.34k,$1.84k Per Day,18.78k,625.97 Per Day,72.94%,69.56%,$2.55k,15.12,353.59k,3.93k Per Day,847,9.41 Per Day,$77.28k,$858.71 Per Day,18.78k,208.66 Per Day,56.60%,49.81%,$2.55k,15.12,353.59k,1.96k Per Day,847,4.71 Per Day,$77.28k,$429.36 Per Day,18.78k,104.33 Per Day,56.60%,49.81%,$2.55k,15.12
Hair supplement! / suplemento para un cabello mas fuerte !,#foryou #fyp #hair #hairsupplement #parati #viral,original sound - alejandro_1x1,"Aug 2, 2024",42s,3 Days (2024-08-04 - 2024-08-06),08/02/2024,75.77k,75.77k Per Day,30,30 Per Day,$883.50,$883.50 Per Day,29,29 Per Day,0%,0%,$0.00,0,560.82k,80.12k Per Day,187,26.71 Per Day,$5.72k,$816.85 Per Day,183,26.14 Per Day,0%,0%,$0.00,0,3.9m,129.89k Per Day,1.7k,56.5 Per Day,$55.32k,$1.84k Per Day,1.31k,43.67 Per Day,12.38%,15.57%,$4.32k,1.99,5.61m,62.35k Per Day,2.36k,26.18 Per Day,$77.13k,$856.99 Per Day,2.15k,23.89 Per Day,29.31%,29.77%,$14.32k,1.6,5.61m,31.18k Per Day,2.36k,13.09 Per Day,$77.13k,$428.49 Per Day,2.15k,11.94 Per Day,29.31%,29.77%,$14.32k,1.6
